group|var_name|var_label|var_type|var_level|t0_var|time_start|time_end|code_type|code_include|code_exclude|notes
bd_def|bd_23|Stress related disorders||||||icd10|F43||
bd_def|bd_23|Stress related disorders||||||atc|||
bd_def|bd_23|Stress related disorders||||||indo|||
bd_def|bd_24|Stroke||||||icd10|I60 I61 I63 I64|I608|
bd_def|bd_24|Stroke||||||atc|||
bd_def|bd_24|Stroke||||||indo|||
bd_def|bd_25|Traumatic brain injury||||||icd10|F072 S020 S021 S027 S029 S06||
bd_def|bd_25|Traumatic brain injury||||||atc|||
bd_def|bd_25|Traumatic brain injury||||||indo|||
population_def|inc_2016_2021||custom|||2016-01-01|2021-12-31||||
population_def|prev_2021||custom|||2021-01-01|2021-12-31||||
bd_population|bd_00#inc_2016_2021|||||||custom|||
bd_population|bd_00#prev_2021|||||||custom|||
bd_population|bd_01#inc_2016_2021|||||||custom|||
bd_population|bd_01#prev_2021|||||||custom|||
bd_population|bd_02#inc_2016_2021|||||||custom|||
bd_population|bd_02#prev_2021|||||||custom|||
bd_population|bd_03#inc_2016_2021|||||||custom|||
bd_population|bd_03#prev_2021|||||||custom|||
bd_population|bd_04#inc_2016_2021|||||||custom|||
bd_population|bd_04#prev_2021|||||||custom|||
bd_population|bd_05#inc_2016_2021|||||||custom|||
bd_population|bd_05#prev_2021|||||||custom|||
bd_population|bd_06#inc_2016_2021|||||||custom|||
bd_population|bd_06#prev_2021|||||||custom|||
bd_population|bd_07#inc_2016_2021|||||||custom|||
bd_population|bd_07#prev_2021|||||||custom|||
bd_population|bd_08#inc_2016_2021|||||||custom|||
bd_population|bd_08#prev_2021|||||||custom|||
bd_population|bd_09#inc_2016_2021|||||||custom|||
bd_population|bd_09#prev_2021|||||||custom|||
bd_population|bd_10#inc_2016_2021|||||||custom|||
bd_population|bd_10#prev_2021|||||||custom|||
bd_population|bd_11#inc_2016_2021|||||||custom|||
bd_population|bd_11#prev_2021|||||||custom|||
bd_population|bd_12#inc_2016_2021|||||||custom|||
bd_population|bd_12#prev_2021|||||||custom|||
bd_population|bd_13#inc_2016_2021|||||||custom|||
bd_population|bd_13#prev_2021|||||||custom|||
bd_population|bd_14#inc_2016_2021|||||||custom|||
bd_population|bd_14#prev_2021|||||||custom|||
bd_population|bd_15#inc_2016_2021|||||||custom|||
bd_population|bd_15#prev_2021|||||||custom|||
bd_population|bd_16#inc_2016_2021|||||||custom|||
bd_population|bd_16#prev_2021|||||||custom|||
bd_population|bd_17#inc_2016_2021|||||||custom|||
bd_population|bd_17#prev_2021|||||||custom|||
bd_population|bd_18#inc_2016_2021|||||||custom|||
bd_population|bd_18#prev_2021|||||||custom|||
bd_population|bd_19#inc_2016_2021|||||||custom|||
bd_population|bd_19#prev_2021|||||||custom|||
bd_population|bd_20#inc_2016_2021|||||||custom|||
bd_population|bd_20#prev_2021|||||||custom|||
bd_population|bd_21#inc_2016_2021|||||||custom|||
bd_population|bd_21#prev_2021|||||||custom|||
bd_population|bd_22#inc_2016_2021|||||||custom|||
bd_population|bd_22#prev_2021|||||||custom|||
bd_population|bd_23#inc_2016_2021|||||||custom|||
bd_population|bd_23#prev_2021|||||||custom|||
bd_population|bd_24#inc_2016_2021|||||||custom|||
bd_population|bd_24#prev_2021|||||||custom|||
bd_population|bd_25#inc_2016_2021|||||||custom|||
bd_population|bd_25#prev_2021|||||||custom|||
cci|cci_1|Myocardial infarction|||index_date|-10*365|-1|icd8|410||Codes used to define CCI
cci|cci_1|Myocardial infarction|||index_date|-10*365|-1|icd10|I21 I22 I23||Codes used to define CCI
cci|cci_2|Congestive heart failure|||index_date|-10*365|-1|icd8|42709 42710 42711 42719 42899 78249||Codes used to define CCI
cci|cci_2|Congestive heart failure|||index_date|-10*365|-1|icd10|I50 I110 I130 I132||Codes used to define CCI
cci|cci_3|Peripheral vascular disease|||index_date|-10*365|-1|icd8|440 441 442 443 444 445||Codes used to define CCI
cci|cci_3|Peripheral vascular disease|||index_date|-10*365|-1|icd10|I70 I71 I72 I73 I74 I77||Codes used to define CCI
cci|cci_4|Cerebrovascular disease|||index_date|-10*365|-1|icd8|430 431 432 433 434 435 436 437 438||Codes used to define CCI
cci|cci_4|Cerebrovascular disease|||index_date|-10*365|-1|icd10|I6 G45 G46||Codes used to define CCI
cci|cci_5|Dementia|||index_date|-10*365|-1|icd8|29009 2901 29309||Codes used to define CCI
cci|cci_5|Dementia|||index_date|-10*365|-1|icd10|F00 F01 F02 F03 F051 G30||Codes used to define CCI
cci|cci_6|Chronic pulmonary disease|||index_date|-10*365|-1|icd8|490 491 492 493 515 516 517 518||Codes used to define CCI
cci|cci_6|Chronic pulmonary disease|||index_date|-10*365|-1|icd10|J40 J41 J42 J43 J44 J45 J46 J47 J60 J61 J62 J63 J64 J65 J66 J67    J684 J701 J703 J841 J920 J961 J982 J983||Codes used to define CCI
cci|cci_7|Connective tissue disease|||index_date|-10*365|-1|icd8|712 716 734 446 13599||Codes used to define CCI
cci|cci_7|Connective tissue disease|||index_date|-10*365|-1|icd10|M05 M06 M08 M09 M30 M31 M32 M33 M34 M35 M36 D86||Codes used to define CCI
cci|cci_8|Ulcer disease|||index_date|-10*365|-1|icd8|53091 53098 531 532 533 534||Codes used to define CCI
cci|cci_8|Ulcer disease|||index_date|-10*365|-1|icd10|K221 K25 K26 K27 K28||Codes used to define CCI
cci|cci_9|Mild liver disease|||index_date|-10*365|-1|icd8|571 57301 57304||Codes used to define CCI
cci|cci_9|Mild liver disease|||index_date|-10*365|-1|icd10|B18 K700 K701 K702 K703 K709 K71 K73 K74 K760||Codes used to define CCI
cci|cci_10|Diabetes without end-organ damage|||index_date|-10*365|-1|icd8|24900 24906 24907 24909 25000 25006 25007 25009||Codes used to define CCI
cci|cci_10|Diabetes without end-organ damage|||index_date|-10*365|-1|icd10|E100 E101 E109 E110 E111 E119||Codes used to define CCI
cci|cci_11|Hemiplegia|||index_date|-10*365|-1|icd8|344||Codes used to define CCI
cci|cci_11|Hemiplegia|||index_date|-10*365|-1|icd10|G81 G82||Codes used to define CCI
cci|cci_12|Moderate to severe renal disease|||index_date|-10*365|-1|icd8|403 404 580 581 582 583 584 59009 59319 7531 792||Codes used to define CCI
cci|cci_12|Moderate to severe renal disease|||index_date|-10*365|-1|icd10|I12 I13 N00 N01 N02 N03 N04 N05 N07 N11 N14 N17 N18 N19 Q61||Codes used to define CCI
cci|cci_13|Diabetes with end-organ damage|||index_date|-10*365|-1|icd8|24901 24902 24903 24904 24905 24908 25001 25002 25003 25004 25005 25008||Codes used to define CCI
cci|cci_13|Diabetes with end-organ damage|||index_date|-10*365|-1|icd10|E102 E103 E104 E105 E106 E107 E108 E112 E113 E114 E115 E116 E117 E118||Codes used to define CCI
cci|cci_14|Solid cancer tumour|||index_date|-10*365|-1|icd8|14 15 16 17 18 190 191 192 193 194||Codes used to define CCI
cci|cci_14|Solid cancer tumour|||index_date|-10*365|-1|icd10|C0 C1 C2 C3 C4 C5 C6 C70 C71 C72 C73 C74 C75||Codes used to define CCI
cci|cci_15|Leukaemia|||index_date|-10*365|-1|icd8|204 205 206 207||Codes used to define CCI
cci|cci_15|Leukaemia|||index_date|-10*365|-1|icd10|C91 C92 C93 C94 C95||Codes used to define CCI
cci|cci_16|Lymphoma|||index_date|-10*365|-1|icd8|200 201 202 203 27559||Codes used to define CCI
cci|cci_16|Lymphoma|||index_date|-10*365|-1|icd10|C81 C82 C83 C84 C85 C88 C90 C96||Codes used to define CCI
cci|cci_17|Moderate to severe liver disease|||index_date|-10*365|-1|icd8|07000 07002 07004 07006 07008 57300 4560||Codes used to define CCI
cci|cci_17|Moderate to severe liver disease|||index_date|-10*365|-1|icd10|B150 B160 B162 B190 K704 K72 K766 I85||Codes used to define CCI
cci|cci_18|Metastatic solid tumour|||index_date|-10*365|-1|icd8|195 196 197 198 199||Codes used to define CCI
cci|cci_18|Metastatic solid tumour|||index_date|-10*365|-1|icd10|C76 C77 C78 C79 C80||Codes used to define CCI
cci|cci_19|AIDS|||index_date|-10*365|-1|icd8|07983||Codes used to define CCI
cci|cci_19|AIDS|||index_date|-10*365|-1|icd10|B21 B22 B23 B24||Codes used to define CCI
education|short_education|Short education||||||hfaudd|0001||
education|short_education|Short education||||||hfaudd|0200||
education|short_education|Short education||||||hfaudd|0205||
education|short_education|Short education||||||hfaudd|0210||
education|short_education|Short education||||||hfaudd|1006||
education|short_education|Short education||||||hfaudd|1007||
education|short_education|Short education||||||hfaudd|1008||
education|short_education|Short education||||||hfaudd|1009||
education|short_education|Short education||||||hfaudd|1010||
education|short_education|Short education||||||hfaudd|1011||
education|short_education|Short education||||||hfaudd|1100||
education|short_education|Short education||||||hfaudd|1101||
education|short_education|Short education||||||hfaudd|1102||
education|short_education|Short education||||||hfaudd|1103||
education|short_education|Short education||||||hfaudd|1104||
education|short_education|Short education||||||hfaudd|1105||
education|short_education|Short education||||||hfaudd|1106||
education|short_education|Short education||||||hfaudd|1107||
education|short_education|Short education||||||hfaudd|1108||
education|short_education|Short education||||||hfaudd|1109||
education|short_education|Short education||||||hfaudd|1110||
education|short_education|Short education||||||hfaudd|1111||
education|short_education|Short education||||||hfaudd|1120||
education|short_education|Short education||||||hfaudd|1206||
education|short_education|Short education||||||hfaudd|1207||
education|short_education|Short education||||||hfaudd|1208||
education|short_education|Short education||||||hfaudd|1209||
education|short_education|Short education||||||hfaudd|1210||
education|short_education|Short education||||||hfaudd|1301||
education|short_education|Short education||||||hfaudd|1302||
education|short_education|Short education||||||hfaudd|1303||
education|short_education|Short education||||||hfaudd|1304||
education|short_education|Short education||||||hfaudd|1305||
education|short_education|Short education||||||hfaudd|1351||
education|short_education|Short education||||||hfaudd|1352||
education|short_education|Short education||||||hfaudd|1353||
education|short_education|Short education||||||hfaudd|1354||
education|short_education|Short education||||||hfaudd|1355||
education|short_education|Short education||||||hfaudd|1356||
education|short_education|Short education||||||hfaudd|1357||
education|short_education|Short education||||||hfaudd|1359||
education|short_education|Short education||||||hfaudd|1365||
education|short_education|Short education||||||hfaudd|1410||
education|short_education|Short education||||||hfaudd|1509||
education|short_education|Short education||||||hfaudd|1510||
education|short_education|Short education||||||hfaudd|1901||
education|short_education|Short education||||||hfaudd|2401||
education|short_education|Short education||||||hfaudd|2411||
education|short_education|Short education||||||hfaudd|2413||
education|short_education|Short education||||||hfaudd|2415||
education|short_education|Short education||||||hfaudd|2417||
education|short_education|Short education||||||hfaudd|2421||
education|short_education|Short education||||||hfaudd|2425||
education|short_education|Short education||||||hfaudd|2428||
education|short_education|Short education||||||hfaudd|2431||
education|short_education|Short education||||||hfaudd|2432||
education|short_education|Short education||||||hfaudd|2441||
education|short_education|Short education||||||hfaudd|2442||
education|short_education|Short education||||||hfaudd|2443||
education|short_education|Short education||||||hfaudd|2444||
education|short_education|Short education||||||hfaudd|2445||
education|short_education|Short education||||||hfaudd|2446||
education|short_education|Short education||||||hfaudd|2447||
education|short_education|Short education||||||hfaudd|2472||
education|short_education|Short education||||||hfaudd|2508||
education|short_education|Short education||||||hfaudd|2509||
education|short_education|Short education||||||hfaudd|2510||
education|short_education|Short education||||||hfaudd|2511||
education|short_education|Short education||||||hfaudd|2530||
education|short_education|Short education||||||hfaudd|3942||
education|short_education|Short education||||||hfaudd|3955||
education|short_education|Short education||||||hfaudd|4199||
education|short_education|Short education||||||hfaudd|4202||
education|short_education|Short education||||||hfaudd|5015||
education|short_education|Short education||||||hfaudd|5016||
education|short_education|Short education||||||hfaudd|5018||
education|short_education|Short education||||||hfaudd|5019||
education|short_education|Short education||||||hfaudd|5044||
education|short_education|Short education||||||hfaudd|5048||
education|short_education|Short education||||||hfaudd|5049||
education|short_education|Short education||||||hfaudd|5051||
education|short_education|Short education||||||hfaudd|5052||
education|short_education|Short education||||||hfaudd|5053||
education|short_education|Short education||||||hfaudd|5054||
education|short_education|Short education||||||hfaudd|5091||
education|short_education|Short education||||||hfaudd|5144||
education|short_education|Short education||||||hfaudd|9602||
education|short_education|Short education||||||hfaudd|9603||
education|short_education|Short education||||||hfaudd|9604||
education|short_education|Short education||||||hfaudd|9606||
education|short_education|Short education||||||hfaudd|9607||
education|medium_education|Medium education||||||hfaudd|0215||
education|medium_education|Medium education||||||hfaudd|0320||
education|medium_education|Medium education||||||hfaudd|0339||
education|medium_education|Medium education||||||hfaudd|0353||
education|medium_education|Medium education||||||hfaudd|0354||
education|medium_education|Medium education||||||hfaudd|0355||
education|medium_education|Medium education||||||hfaudd|0358||
education|medium_education|Medium education||||||hfaudd|0360||
education|medium_education|Medium education||||||hfaudd|0375||
education|medium_education|Medium education||||||hfaudd|0380||
education|medium_education|Medium education||||||hfaudd|0385||
education|medium_education|Medium education||||||hfaudd|0390||
education|medium_education|Medium education||||||hfaudd|0805||
education|medium_education|Medium education||||||hfaudd|0812||
education|medium_education|Medium education||||||hfaudd|0820||
education|medium_education|Medium education||||||hfaudd|0825||
education|medium_education|Medium education||||||hfaudd|0845||
education|medium_education|Medium education||||||hfaudd|0850||
education|medium_education|Medium education||||||hfaudd|1021||
education|medium_education|Medium education||||||hfaudd|1022||
education|medium_education|Medium education||||||hfaudd|1023||
education|medium_education|Medium education||||||hfaudd|1031||
education|medium_education|Medium education||||||hfaudd|1032||
education|medium_education|Medium education||||||hfaudd|1040||
education|medium_education|Medium education||||||hfaudd|1041||
education|medium_education|Medium education||||||hfaudd|1042||
education|medium_education|Medium education||||||hfaudd|1049||
education|medium_education|Medium education||||||hfaudd|1051||
education|medium_education|Medium education||||||hfaudd|1052||
education|medium_education|Medium education||||||hfaudd|1061||
education|medium_education|Medium education||||||hfaudd|1062||
education|medium_education|Medium education||||||hfaudd|1064||
education|medium_education|Medium education||||||hfaudd|1069||
education|medium_education|Medium education||||||hfaudd|1070||
education|medium_education|Medium education||||||hfaudd|1071||
education|medium_education|Medium education||||||hfaudd|1072||
education|medium_education|Medium education||||||hfaudd|1073||
education|medium_education|Medium education||||||hfaudd|1080||
education|medium_education|Medium education||||||hfaudd|1081||
education|medium_education|Medium education||||||hfaudd|1082||
education|medium_education|Medium education||||||hfaudd|1083||
education|medium_education|Medium education||||||hfaudd|1084||
education|medium_education|Medium education||||||hfaudd|1097||
education|medium_education|Medium education||||||hfaudd|1098||
education|medium_education|Medium education||||||hfaudd|1121||
education|medium_education|Medium education||||||hfaudd|1122||
education|medium_education|Medium education||||||hfaudd|1123||
education|medium_education|Medium education||||||hfaudd|1140||
education|medium_education|Medium education||||||hfaudd|1141||
education|medium_education|Medium education||||||hfaudd|1142||
education|medium_education|Medium education||||||hfaudd|1143||
education|medium_education|Medium education||||||hfaudd|1144||
education|medium_education|Medium education||||||hfaudd|1145||
education|medium_education|Medium education||||||hfaudd|1146||
education|medium_education|Medium education||||||hfaudd|1149||
education|medium_education|Medium education||||||hfaudd|1151||
education|medium_education|Medium education||||||hfaudd|1152||
education|medium_education|Medium education||||||hfaudd|1153||
education|medium_education|Medium education||||||hfaudd|1154||
education|medium_education|Medium education||||||hfaudd|1155||
education|medium_education|Medium education||||||hfaudd|1161||
education|medium_education|Medium education||||||hfaudd|1162||
education|medium_education|Medium education||||||hfaudd|1163||
education|medium_education|Medium education||||||hfaudd|1164||
education|medium_education|Medium education||||||hfaudd|1165||
education|medium_education|Medium education||||||hfaudd|1169||
education|medium_education|Medium education||||||hfaudd|1171||
education|medium_education|Medium education||||||hfaudd|1172||
education|medium_education|Medium education||||||hfaudd|1173||
education|medium_education|Medium education||||||hfaudd|1174||
education|medium_education|Medium education||||||hfaudd|1175||
education|medium_education|Medium education||||||hfaudd|1179||
education|medium_education|Medium education||||||hfaudd|1181||
education|medium_education|Medium education||||||hfaudd|1182||
education|medium_education|Medium education||||||hfaudd|1183||
education|medium_education|Medium education||||||hfaudd|1184||
education|medium_education|Medium education||||||hfaudd|1185||
education|medium_education|Medium education||||||hfaudd|1189||
education|medium_education|Medium education||||||hfaudd|1190||
education|medium_education|Medium education||||||hfaudd|1195||
education|medium_education|Medium education||||||hfaudd|1196||
education|medium_education|Medium education||||||hfaudd|1197||
education|medium_education|Medium education||||||hfaudd|1198||
education|medium_education|Medium education||||||hfaudd|1199||
education|medium_education|Medium education||||||hfaudd|1423||
education|medium_education|Medium education||||||hfaudd|1522||
education|medium_education|Medium education||||||hfaudd|1523||
education|medium_education|Medium education||||||hfaudd|1531||
education|medium_education|Medium education||||||hfaudd|1532||
education|medium_education|Medium education||||||hfaudd|1533||
education|medium_education|Medium education||||||hfaudd|1535||
education|medium_education|Medium education||||||hfaudd|1536||
education|medium_education|Medium education||||||hfaudd|1537||
education|medium_education|Medium education||||||hfaudd|1539||
education|medium_education|Medium education||||||hfaudd|1540||
education|medium_education|Medium education||||||hfaudd|1541||
education|medium_education|Medium education||||||hfaudd|1542||
education|medium_education|Medium education||||||hfaudd|1543||
education|medium_education|Medium education||||||hfaudd|1549||
education|medium_education|Medium education||||||hfaudd|1551||
education|medium_education|Medium education||||||hfaudd|1552||
education|medium_education|Medium education||||||hfaudd|1553||
education|medium_education|Medium education||||||hfaudd|1555||
education|medium_education|Medium education||||||hfaudd|1559||
education|medium_education|Medium education||||||hfaudd|1561||
education|medium_education|Medium education||||||hfaudd|1562||
education|medium_education|Medium education||||||hfaudd|1563||
education|medium_education|Medium education||||||hfaudd|1565||
education|medium_education|Medium education||||||hfaudd|1569||
education|medium_education|Medium education||||||hfaudd|1650||
education|medium_education|Medium education||||||hfaudd|1651||
education|medium_education|Medium education||||||hfaudd|1652||
education|medium_education|Medium education||||||hfaudd|1671||
education|medium_education|Medium education||||||hfaudd|1672||
education|medium_education|Medium education||||||hfaudd|1673||
education|medium_education|Medium education||||||hfaudd|1679||
education|medium_education|Medium education||||||hfaudd|1681||
education|medium_education|Medium education||||||hfaudd|1682||
education|medium_education|Medium education||||||hfaudd|1683||
education|medium_education|Medium education||||||hfaudd|1689||
education|medium_education|Medium education||||||hfaudd|1721||
education|medium_education|Medium education||||||hfaudd|1722||
education|medium_education|Medium education||||||hfaudd|1723||
education|medium_education|Medium education||||||hfaudd|1879||
education|medium_education|Medium education||||||hfaudd|1889||
education|medium_education|Medium education||||||hfaudd|1891||
education|medium_education|Medium education||||||hfaudd|1892||
education|medium_education|Medium education||||||hfaudd|1893||
education|medium_education|Medium education||||||hfaudd|1896||
education|medium_education|Medium education||||||hfaudd|1897||
education|medium_education|Medium education||||||hfaudd|1898||
education|medium_education|Medium education||||||hfaudd|1899||
education|medium_education|Medium education||||||hfaudd|2003||
education|medium_education|Medium education||||||hfaudd|2005||
education|medium_education|Medium education||||||hfaudd|2007||
education|medium_education|Medium education||||||hfaudd|2008||
education|medium_education|Medium education||||||hfaudd|2009||
education|medium_education|Medium education||||||hfaudd|2010||
education|medium_education|Medium education||||||hfaudd|2015||
education|medium_education|Medium education||||||hfaudd|2016||
education|medium_education|Medium education||||||hfaudd|2017||
education|medium_education|Medium education||||||hfaudd|2018||
education|medium_education|Medium education||||||hfaudd|2021||
education|medium_education|Medium education||||||hfaudd|2022||
education|medium_education|Medium education||||||hfaudd|2027||
education|medium_education|Medium education||||||hfaudd|2028||
education|medium_education|Medium education||||||hfaudd|2419||
education|medium_education|Medium education||||||hfaudd|2459||
education|medium_education|Medium education||||||hfaudd|2460||
education|medium_education|Medium education||||||hfaudd|2461||
education|medium_education|Medium education||||||hfaudd|2462||
education|medium_education|Medium education||||||hfaudd|2469||
education|medium_education|Medium education||||||hfaudd|2470||
education|medium_education|Medium education||||||hfaudd|2471||
education|medium_education|Medium education||||||hfaudd|2473||
education|medium_education|Medium education||||||hfaudd|2476||
education|medium_education|Medium education||||||hfaudd|2477||
education|medium_education|Medium education||||||hfaudd|2478||
education|medium_education|Medium education||||||hfaudd|2479||
education|medium_education|Medium education||||||hfaudd|2480||
education|medium_education|Medium education||||||hfaudd|2481||
education|medium_education|Medium education||||||hfaudd|2483||
education|medium_education|Medium education||||||hfaudd|2484||
education|medium_education|Medium education||||||hfaudd|2485||
education|medium_education|Medium education||||||hfaudd|2486||
education|medium_education|Medium education||||||hfaudd|2487||
education|medium_education|Medium education||||||hfaudd|2488||
education|medium_education|Medium education||||||hfaudd|2489||
education|medium_education|Medium education||||||hfaudd|2490||
education|medium_education|Medium education||||||hfaudd|2491||
education|medium_education|Medium education||||||hfaudd|2493||
education|medium_education|Medium education||||||hfaudd|2494||
education|medium_education|Medium education||||||hfaudd|2495||
