same_education_req|var_pop|agegroup|closest_relative_group|relative_group|__var|__label|__stat_char|__stat_num2|__stat_num3|__stat_num1
no|bd_00#inc_2016_2021|0-24|mother|case|cci_g|cci_g: 1-2|5,683 (8.5)|8.47285793091109||5683
no|bd_00#inc_2016_2021|0-24|mother|case|age_index|age_index|45.9 (39.9;50.8)|39.8876712328767|50.836177857624|45.858926566
no|bd_00#inc_2016_2021|0-24|mother|case|education_level|education_level: title||||
no|bd_00#inc_2016_2021|0-24|mother|case|education_level|education_level: long_education|27,440 (40.9)|40.9106495907444||27440
no|bd_00#inc_2016_2021|0-24|mother|case|education_level|education_level: medium_education|28,123 (41.9)|41.9289430918551||28123
no|bd_00#inc_2016_2021|0-24|mother|case|education_level|education_level: no_education|2,247 (3.4)|3.35008125475228||2247
no|bd_00#inc_2016_2021|0-24|mother|case|education_level|education_level: short_education|9,263 (13.8)|13.8103260626481||9263
no|bd_00#inc_2016_2021|0-24|mother|case|closest_relative_type|closest_relative_type: title||||
no|bd_00#inc_2016_2021|0-24|mother|case|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|mother|case|closest_relative_type|closest_relative_type: father|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|mother|case|closest_relative_type|closest_relative_type: mother|67,073 (100.0)|100||67073
no|bd_00#inc_2016_2021|0-24|mother|case|closest_relative_type|closest_relative_type: parent|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|mother|case|closest_relative_type|closest_relative_type: partner|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|mother|case|closest_relative_type|closest_relative_type: sibling|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|mother|control|__n|__n|67,073 (100.0)|100||67073
no|bd_00#inc_2016_2021|0-24|mother|control|male|male|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|mother|control|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|0-24|mother|control|cci_g|cci_g: +3|406 (0.6)|0.60531063169978||406
no|bd_00#inc_2016_2021|0-24|mother|control|cci_g|cci_g: 0|61,689 (92.0)|91.9729250219909||61689
no|bd_00#inc_2016_2021|0-24|mother|control|cci_g|cci_g: 1-2|4,978 (7.4)|7.42176434630924||4978
no|bd_00#inc_2016_2021|0-24|mother|control|age_index|age_index|46.0 (40.2;50.9)|40.1972602739726|50.8875290066621|46.006617262
no|bd_00#inc_2016_2021|0-24|mother|control|education_level|education_level: title||||
no|bd_00#inc_2016_2021|0-24|mother|control|education_level|education_level: long_education|28,471 (42.4)|42.4477807761692||28471
no|bd_00#inc_2016_2021|0-24|mother|control|education_level|education_level: medium_education|27,839 (41.5)|41.5055238322424||27839
no|bd_00#inc_2016_2021|0-24|mother|control|education_level|education_level: no_education|2,333 (3.5)|3.47829976294485||2333
no|bd_00#inc_2016_2021|0-24|mother|control|education_level|education_level: short_education|8,430 (12.6)|12.5683956286434||8430
no|bd_00#inc_2016_2021|0-24|mother|control|closest_relative_type|closest_relative_type: title||||
no|bd_00#inc_2016_2021|0-24|mother|control|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|mother|control|closest_relative_type|closest_relative_type: father|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|mother|control|closest_relative_type|closest_relative_type: mother|67,073 (100.0)|100||67073
no|bd_00#inc_2016_2021|0-24|mother|control|closest_relative_type|closest_relative_type: parent|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|mother|control|closest_relative_type|closest_relative_type: partner|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|mother|control|closest_relative_type|closest_relative_type: sibling|0 (0.0)|0||0
no|bd_00#inc_2016_2021|25-64|closest_relative|case|__n|__n|182,622 (100.0)|100||182622
no|bd_00#inc_2016_2021|25-64|closest_relative|case|male|male|97,441 (53.4)|53.3566602052326||97441
no|bd_00#inc_2016_2021|25-64|closest_relative|case|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|25-64|closest_relative|case|cci_g|cci_g: +3|3,364 (1.8)|1.84205626923371||3364
no|bd_00#inc_2016_2021|25-64|closest_relative|case|cci_g|cci_g: 0|158,731 (86.9)|86.9177864660336||158731
no|bd_00#inc_2016_2021|25-64|closest_relative|case|cci_g|cci_g: 1-2|20,527 (11.2)|11.2401572647326||20527
no|bd_00#inc_2016_2021|25-64|closest_relative|case|age_index|age_index|51.6 (39.0;60.6)|39.0136986301369|60.6184594655288|51.62654016
no|bd_00#inc_2016_2021|25-64|closest_relative|case|education_level|education_level: title||||
no|bd_00#inc_2016_2021|25-64|closest_relative|case|education_level|education_level: long_education|52,716 (28.9)|28.8661826066958||52716
no|bd_00#inc_2016_2021|25-64|closest_relative|case|education_level|education_level: medium_education|84,520 (46.3)|46.2813899749208||84520
no|bd_00#inc_2016_2021|25-64|closest_relative|case|education_level|education_level: no_education|8,375 (4.6)|4.58597540274446||8375
no|bd_00#inc_2016_2021|25-64|closest_relative|case|education_level|education_level: short_education|37,011 (20.3)|20.2664520156388||37011
no|bd_00#inc_2016_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: title||||
no|bd_00#inc_2016_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_00#inc_2016_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: father|0 (0.0)|0||0
no|bd_00#inc_2016_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: mother|0 (0.0)|0||0
no|bd_00#inc_2016_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: parent|42,072 (23.0)|23.0377501067779||42072
no|bd_00#inc_2016_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: partner|90,209 (49.4)|49.3965677738717||90209
no|bd_00#inc_2016_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: sibling|50,341 (27.6)|27.5656821193503||50341
no|bd_00#inc_2016_2021|25-64|closest_relative|control|__n|__n|182,622 (100.0)|100||182622
no|bd_00#inc_2016_2021|25-64|closest_relative|control|male|male|96,675 (52.9)|52.9372145743667||96675
no|bd_00#inc_2016_2021|25-64|closest_relative|control|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|25-64|closest_relative|control|cci_g|cci_g: +3|3,149 (1.7)|1.72432675143191||3149
no|bd_00#inc_2016_2021|25-64|closest_relative|control|cci_g|cci_g: 0|159,941 (87.6)|87.5803572406391||159941
no|bd_00#inc_2016_2021|25-64|closest_relative|control|cci_g|cci_g: 1-2|19,532 (10.7)|10.6953160079289||19532
no|bd_00#inc_2016_2021|25-64|closest_relative|control|age_index|age_index|51.9 (39.2;60.8)|39.1972602739726|60.8213638745415|51.857534247
no|bd_00#inc_2016_2021|25-64|closest_relative|control|education_level|education_level: title||||
no|bd_00#inc_2016_2021|25-64|closest_relative|control|education_level|education_level: long_education|55,709 (30.5)|30.5050870103273||55709
no|bd_00#inc_2016_2021|25-64|closest_relative|control|education_level|education_level: medium_education|84,529 (46.3)|46.2863181872939||84529
no|bd_00#inc_2016_2021|25-64|closest_relative|control|education_level|education_level: no_education|8,321 (4.6)|4.55640612850587||8321
no|bd_00#inc_2016_2021|25-64|closest_relative|control|education_level|education_level: short_education|34,063 (18.7)|18.6521886738728||34063
no|bd_00#inc_2016_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: title||||
no|bd_00#inc_2016_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_00#inc_2016_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: father|0 (0.0)|0||0
no|bd_00#inc_2016_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: mother|0 (0.0)|0||0
no|bd_00#inc_2016_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: parent|42,072 (23.0)|23.0377501067779||42072
no|bd_00#inc_2016_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: partner|90,209 (49.4)|49.3965677738717||90209
no|bd_00#inc_2016_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: sibling|50,341 (27.6)|27.5656821193503||50341
no|bd_00#inc_2016_2021|65+|closest_relative|case|__n|__n|108,084 (100.0)|100||108084
no|bd_00#inc_2016_2021|65+|closest_relative|case|male|male|54,484 (50.4)|50.4089411938862||54484
no|bd_00#inc_2016_2021|65+|closest_relative|case|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|65+|closest_relative|case|cci_g|cci_g: +3|3,450 (3.2)|3.19196180748306||3450
no|bd_00#inc_2016_2021|65+|closest_relative|case|cci_g|cci_g: 0|88,268 (81.7)|81.666111542874||88268
no|bd_00#inc_2016_2021|65+|closest_relative|case|cci_g|cci_g: 1-2|16,366 (15.1)|15.1419266496428||16366
no|bd_00#inc_2016_2021|65+|closest_relative|case|age_index|age_index|58.2 (49.1;70.8)|49.0956957856127|70.8410958904109|58.216876263
no|bd_00#inc_2016_2021|65+|closest_relative|case|education_level|education_level: title||||
no|bd_00#inc_2016_2021|65+|closest_relative|case|education_level|education_level: long_education|31,505 (29.1)|29.1486251434069||31505
no|bd_00#inc_2016_2021|65+|closest_relative|case|education_level|education_level: medium_education|52,505 (48.6)|48.5779578846082||52505
no|bd_00#inc_2016_2021|65+|closest_relative|case|education_level|education_level: no_education|3,340 (3.1)|3.09018911217201||3340
no|bd_00#inc_2016_2021|65+|closest_relative|case|education_level|education_level: short_education|20,734 (19.2)|19.1832278598127||20734
no|bd_00#inc_2016_2021|65+|closest_relative|case|closest_relative_type|closest_relative_type: title||||
no|bd_00#inc_2016_2021|65+|closest_relative|case|closest_relative_type|closest_relative_type: child|66,396 (61.4)|61.4299988897524||66396
no|bd_00#inc_2016_2021|65+|closest_relative|case|closest_relative_type|closest_relative_type: father|0 (0.0)|0||0
no|bd_00#inc_2016_2021|65+|closest_relative|case|closest_relative_type|closest_relative_type: mother|0 (0.0)|0||0
no|bd_00#inc_2016_2021|65+|closest_relative|case|closest_relative_type|closest_relative_type: parent|0 (0.0)|0||0
no|bd_00#inc_2016_2021|65+|closest_relative|case|closest_relative_type|closest_relative_type: partner|41,688 (38.6)|38.5700011102475||41688
no|bd_00#inc_2016_2021|65+|closest_relative|case|closest_relative_type|closest_relative_type: sibling|0 (0.0)|0||0
no|bd_00#inc_2016_2021|65+|closest_relative|control|__n|__n|108,084 (100.0)|100||108084
no|bd_00#inc_2016_2021|65+|closest_relative|control|male|male|54,162 (50.1)|50.1110247585211||54162
no|bd_00#inc_2016_2021|65+|closest_relative|control|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|65+|closest_relative|control|cci_g|cci_g: +3|3,147 (2.9)|2.91162429221716||3147
no|bd_00#inc_2016_2021|65+|closest_relative|control|cci_g|cci_g: 0|89,009 (82.4)|82.3516894267421||89009
no|bd_00#inc_2016_2021|65+|closest_relative|control|cci_g|cci_g: 1-2|15,928 (14.7)|14.7366862810406||15928
no|bd_00#inc_2016_2021|65+|closest_relative|control|age_index|age_index|58.2 (48.9;70.9)|48.9424657534246|70.8986301369863|58.194520548
no|bd_00#inc_2016_2021|65+|closest_relative|control|education_level|education_level: title||||
no|bd_00#inc_2016_2021|65+|closest_relative|control|education_level|education_level: long_education|32,150 (29.7)|29.7453832204581||32150
no|bd_00#inc_2016_2021|65+|closest_relative|control|education_level|education_level: medium_education|52,634 (48.7)|48.6973095000185||52634
no|bd_00#inc_2016_2021|65+|closest_relative|control|education_level|education_level: no_education|3,054 (2.8)|2.82558010436327||3054
no|bd_00#inc_2016_2021|65+|closest_relative|control|education_level|education_level: short_education|20,246 (18.7)|18.73172717516||20246
no|bd_00#inc_2016_2021|65+|closest_relative|control|closest_relative_type|closest_relative_type: title||||
no|bd_00#inc_2016_2021|65+|closest_relative|control|closest_relative_type|closest_relative_type: child|66,396 (61.4)|61.4299988897524||66396
no|bd_00#inc_2016_2021|65+|closest_relative|control|closest_relative_type|closest_relative_type: father|0 (0.0)|0||0
no|bd_00#inc_2016_2021|65+|closest_relative|control|closest_relative_type|closest_relative_type: mother|0 (0.0)|0||0
no|bd_00#inc_2016_2021|65+|closest_relative|control|closest_relative_type|closest_relative_type: parent|0 (0.0)|0||0
no|bd_00#inc_2016_2021|65+|closest_relative|control|closest_relative_type|closest_relative_type: partner|41,688 (38.6)|38.5700011102475||41688
no|bd_00#inc_2016_2021|65+|closest_relative|control|closest_relative_type|closest_relative_type: sibling|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|father|case|__n|__n|131,137 (100.0)|100||131137
no|bd_00#prev_2021|0-24|father|case|male|male|131,137 (100.0)|100||131137
no|bd_00#prev_2021|0-24|father|case|cci_g|cci_g: title||||
no|bd_00#prev_2021|0-24|father|case|cci_g|cci_g: +3|1,133 (0.9)|0.86398194254863||1133
no|bd_00#prev_2021|0-24|father|case|cci_g|cci_g: 0|118,836 (90.6)|90.6197335610849||118836
no|bd_00#prev_2021|0-24|father|case|cci_g|cci_g: 1-2|11,168 (8.5)|8.51628449636639||11168
no|bd_00#prev_2021|0-24|father|case|age_index|age_index|50.0 (44.9;54.8)|44.9453551912568|54.7780821917808|50.024657534
no|bd_00#prev_2021|0-24|father|case|education_level|education_level: title||||
no|bd_00#prev_2021|0-24|father|case|education_level|education_level: long_education|38,155 (29.1)|29.0955260529065||38155
no|bd_00#prev_2021|0-24|father|case|education_level|education_level: medium_education|67,634 (51.6)|51.575070346279||67634
no|bd_00#prev_2021|0-24|father|case|education_level|education_level: no_education|3,030 (2.3)|2.31056071131717||3030
no|bd_00#prev_2021|0-24|father|case|education_level|education_level: short_education|22,318 (17.0)|17.0188428894972||22318
no|bd_00#prev_2021|0-24|father|case|closest_relative_type|closest_relative_type: title||||
no|bd_00#prev_2021|0-24|father|case|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|father|case|closest_relative_type|closest_relative_type: father|131,137 (100.0)|100||131137
no|bd_00#prev_2021|0-24|father|case|closest_relative_type|closest_relative_type: mother|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|father|case|closest_relative_type|closest_relative_type: parent|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|father|case|closest_relative_type|closest_relative_type: partner|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|father|case|closest_relative_type|closest_relative_type: sibling|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|father|control|__n|__n|131,137 (100.0)|100||131137
no|bd_00#prev_2021|0-24|father|control|male|male|131,137 (100.0)|100||131137
no|bd_00#prev_2021|0-24|father|control|cci_g|cci_g: title||||
no|bd_00#prev_2021|0-24|father|control|cci_g|cci_g: +3|1,044 (0.8)|0.79611398766175||1044
no|bd_00#prev_2021|0-24|father|control|cci_g|cci_g: 0|119,888 (91.4)|91.4219480390736||119888
no|bd_00#prev_2021|0-24|father|control|cci_g|cci_g: 1-2|10,205 (7.8)|7.7819379732646||10205
no|bd_00#prev_2021|0-24|father|control|age_index|age_index|50.3 (45.4;54.9)|45.3753424657534|54.8931506849315|50.282191781
no|bd_00#prev_2021|0-24|father|control|education_level|education_level: title||||
no|bd_00#prev_2021|0-24|father|control|education_level|education_level: long_education|41,718 (31.8)|31.812531932254||41718
no|bd_00#prev_2021|0-24|father|control|education_level|education_level: medium_education|65,496 (49.9)|49.9447143064123||65496
no|bd_00#prev_2021|0-24|father|control|education_level|education_level: no_education|4,316 (3.3)|3.29121453136795||4316
no|bd_00#prev_2021|0-24|father|control|education_level|education_level: short_education|19,607 (15.0)|14.9515392299656||19607
no|bd_00#prev_2021|0-24|father|control|closest_relative_type|closest_relative_type: title||||
no|bd_00#prev_2021|0-24|father|control|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|father|control|closest_relative_type|closest_relative_type: father|131,137 (100.0)|100||131137
no|bd_00#prev_2021|0-24|father|control|closest_relative_type|closest_relative_type: mother|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|father|control|closest_relative_type|closest_relative_type: parent|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|father|control|closest_relative_type|closest_relative_type: partner|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|father|control|closest_relative_type|closest_relative_type: sibling|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|mother|case|__n|__n|100,582 (100.0)|100||100582
no|bd_00#prev_2021|0-24|mother|case|male|male|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|mother|case|cci_g|cci_g: title||||
no|bd_00#prev_2021|0-24|mother|case|cci_g|cci_g: +3|717 (0.7)|0.71285120598118||717
no|bd_00#prev_2021|0-24|mother|case|cci_g|cci_g: 0|90,502 (90.0)|89.9783261418544||90502
no|bd_00#prev_2021|0-24|mother|case|cci_g|cci_g: 1-2|9,363 (9.3)|9.3088226521644||9363
no|bd_00#prev_2021|0-24|mother|case|age_index|age_index|48.1 (43.1;52.6)|43.0876712328767|52.6256830601093|48.142076503
no|bd_00#prev_2021|0-24|mother|case|education_level|education_level: title||||
no|bd_00#prev_2021|0-24|mother|case|education_level|education_level: long_education|41,800 (41.6)|41.5581316736593||41800
no|bd_00#prev_2021|0-24|mother|case|education_level|education_level: medium_education|43,392 (43.1)|43.1409198464934||43392
no|bd_00#prev_2021|0-24|mother|case|education_level|education_level: no_education|2,301 (2.3)|2.28768566940406||2301
no|bd_00#prev_2021|0-24|mother|case|education_level|education_level: short_education|13,089 (13.0)|13.0132628104432||13089
no|bd_00#prev_2021|0-24|mother|case|closest_relative_type|closest_relative_type: title||||
no|bd_00#prev_2021|0-24|mother|case|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|mother|case|closest_relative_type|closest_relative_type: father|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|mother|case|closest_relative_type|closest_relative_type: mother|100,582 (100.0)|100||100582
no|bd_00#prev_2021|0-24|mother|case|closest_relative_type|closest_relative_type: parent|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|mother|case|closest_relative_type|closest_relative_type: partner|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|mother|case|closest_relative_type|closest_relative_type: sibling|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|mother|control|__n|__n|100,582 (100.0)|100||100582
no|bd_00#prev_2021|0-24|mother|control|male|male|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|mother|control|cci_g|cci_g: title||||
no|bd_00#prev_2021|0-24|mother|control|cci_g|cci_g: +3|587 (0.6)|0.58360342804875||587
no|bd_00#prev_2021|0-24|mother|control|cci_g|cci_g: 0|91,840 (91.3)|91.308584040882||91840
no|bd_00#prev_2021|0-24|mother|control|cci_g|cci_g: 1-2|8,155 (8.1)|8.10781253106917||8155
no|bd_00#prev_2021|0-24|mother|control|age_index|age_index|48.3 (43.3;52.7)|43.3424657534246|52.7185792349726|48.289617486
no|bd_00#prev_2021|0-24|mother|control|education_level|education_level: title||||
no|bd_00#prev_2021|0-24|mother|control|education_level|education_level: long_education|43,051 (42.8)|42.8018929828398||43051
no|bd_00#prev_2021|0-24|mother|control|education_level|education_level: medium_education|41,953 (41.7)|41.710246366149||41953
no|bd_00#prev_2021|0-24|mother|control|education_level|education_level: no_education|3,262 (3.2)|3.24312501242767||3262
no|bd_00#prev_2021|0-24|mother|control|education_level|education_level: short_education|12,316 (12.2)|12.2447356385834||12316
no|bd_00#prev_2021|0-24|mother|control|closest_relative_type|closest_relative_type: title||||
no|bd_00#prev_2021|0-24|mother|control|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|mother|control|closest_relative_type|closest_relative_type: father|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|mother|control|closest_relative_type|closest_relative_type: mother|100,582 (100.0)|100||100582
no|bd_00#prev_2021|0-24|mother|control|closest_relative_type|closest_relative_type: parent|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|mother|control|closest_relative_type|closest_relative_type: partner|0 (0.0)|0||0
no|bd_00#prev_2021|0-24|mother|control|closest_relative_type|closest_relative_type: sibling|0 (0.0)|0||0
no|bd_00#prev_2021|25-64|closest_relative|case|__n|__n|859,613 (100.0)|100||859613
no|bd_00#prev_2021|25-64|closest_relative|case|male|male|486,360 (56.6)|56.5789488990976||486360
no|bd_00#prev_2021|25-64|closest_relative|case|cci_g|cci_g: title||||
no|bd_00#prev_2021|25-64|closest_relative|case|cci_g|cci_g: +3|18,146 (2.1)|2.11094992746736||18146
no|bd_00#prev_2021|25-64|closest_relative|case|cci_g|cci_g: 0|733,637 (85.3)|85.3450331719041||733637
no|bd_00#prev_2021|25-64|closest_relative|case|cci_g|cci_g: 1-2|107,830 (12.5)|12.5440169006285||107830
no|bd_00#prev_2021|25-64|closest_relative|case|age_index|age_index|54.2 (41.6;62.9)|41.5972602739726|62.8849315068493|54.161643836
no|bd_00#prev_2021|25-64|closest_relative|case|education_level|education_level: title||||
no|bd_00#prev_2021|25-64|closest_relative|case|education_level|education_level: long_education|238,197 (27.7)|27.7097949891404||238197
no|bd_00#prev_2021|25-64|closest_relative|case|education_level|education_level: medium_education|412,471 (48.0)|47.9833366875559||412471
no|bd_00#prev_2021|25-64|closest_relative|case|education_level|education_level: no_education|26,910 (3.1)|3.1304784827591||26910
no|bd_00#prev_2021|25-64|closest_relative|case|education_level|education_level: short_education|182,035 (21.2)|21.1763898405445||182035
no|bd_00#prev_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: title||||
no|bd_00#prev_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_00#prev_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: father|0 (0.0)|0||0
no|bd_00#prev_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: mother|0 (0.0)|0||0
no|bd_00#prev_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: parent|214,963 (25.0)|25.0069508022796||214963
no|bd_00#prev_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: partner|365,434 (42.5)|42.5114557364767||365434
no|bd_00#prev_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: sibling|279,216 (32.5)|32.4815934612436||279216
no|bd_00#prev_2021|25-64|closest_relative|control|__n|__n|859,613 (100.0)|100||859613
no|bd_00#prev_2021|25-64|closest_relative|control|male|male|475,959 (55.4)|55.3689858110568||475959
no|bd_00#prev_2021|25-64|closest_relative|control|cci_g|cci_g: title||||
no|bd_00#prev_2021|25-64|closest_relative|control|cci_g|cci_g: +3|16,558 (1.9)|1.92621563424471||16558
no|bd_00#prev_2021|25-64|closest_relative|control|cci_g|cci_g: 0|740,933 (86.2)|86.1937872042419||740933
no|bd_00#prev_2021|25-64|closest_relative|control|cci_g|cci_g: 1-2|102,122 (11.9)|11.8799971615133||102122
no|bd_00#prev_2021|25-64|closest_relative|control|age_index|age_index|54.4 (42.0;63.1)|42|63.0575342465753|54.44109589
no|bd_00#prev_2021|25-64|closest_relative|control|education_level|education_level: title||||
no|bd_00#prev_2021|25-64|closest_relative|control|education_level|education_level: long_education|261,724 (30.4)|30.4467242817407||261724
