__label|__var|additional_relative_req|var_pop|agegroup|closest_relative_group|case_relative|__stat_char|__stat_num2|__stat_num3|__stat_num1
male|male|no|bd_00#prev_2021|0-24|father|1|131,149 (100.0)|100||131149
cci_g: title|cci_g|no|bd_00#prev_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_00#prev_2021|0-24|father|1|1,133 (0.9)|0.864||1133
cci_g: 0|cci_g|no|bd_00#prev_2021|0-24|father|1|118,848 (90.6)|90.621||118848
cci_g: 1-2|cci_g|no|bd_00#prev_2021|0-24|father|1|11,168 (8.5)|8.516||11168
age_index|age_index|no|bd_00#prev_2021|0-24|father|1|50.0 (44.9;54.8)|44.945|54.778|50.027
education_level: title|education_level|no|bd_00#prev_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_00#prev_2021|0-24|father|1|38,159 (29.1)|29.096||38159
education_level: medium_education|education_level|no|bd_00#prev_2021|0-24|father|1|67,636 (51.6)|51.572||67636
education_level: no_education|education_level|no|bd_00#prev_2021|0-24|father|1|3,031 (2.3)|2.311||3031
education_level: short_education|education_level|no|bd_00#prev_2021|0-24|father|1|22,323 (17.0)|17.021||22323
closest_relative_type: title|closest_relative_type|no|bd_00#prev_2021|0-24|father|1||||
closest_relative_type: father|closest_relative_type|no|bd_00#prev_2021|0-24|father|1|131,149 (100.0)|100||131149
__n|__n|no|bd_01#inc_2016_2021|0-24|father|0|2,264 (100.0)|100||2264
male|male|no|bd_01#inc_2016_2021|0-24|father|0|2,264 (100.0)|100||2264
cci_g: title|cci_g|no|bd_01#inc_2016_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_01#inc_2016_2021|0-24|father|0|38 (1.7)|1.678||38
cci_g: 0|cci_g|no|bd_01#inc_2016_2021|0-24|father|0|1,934 (85.4)|85.424||1934
cci_g: 1-2|cci_g|no|bd_01#inc_2016_2021|0-24|father|0|292 (12.9)|12.898||292
age_index|age_index|no|bd_01#inc_2016_2021|0-24|father|0|53.2 (49.6;56.9)|49.633|56.95|53.198
education_level: title|education_level|no|bd_01#inc_2016_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_01#inc_2016_2021|0-24|father|0|575 (25.4)|25.398||575
education_level: medium_education|education_level|no|bd_01#inc_2016_2021|0-24|father|0|1,177 (52.0)|51.988||1177
education_level: no_education|education_level|no|bd_01#inc_2016_2021|0-24|father|0|91 (4.0)|4.019||91
education_level: short_education|education_level|no|bd_01#inc_2016_2021|0-24|father|0|421 (18.6)|18.595||421
closest_relative_type: title|closest_relative_type|no|bd_01#inc_2016_2021|0-24|father|0||||
closest_relative_type: father|closest_relative_type|no|bd_01#inc_2016_2021|0-24|father|0|2,264 (100.0)|100||2264
__n|__n|no|bd_01#inc_2016_2021|0-24|father|1|2,264 (100.0)|100||2264
male|male|no|bd_01#inc_2016_2021|0-24|father|1|2,264 (100.0)|100||2264
cci_g: title|cci_g|no|bd_01#inc_2016_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_01#inc_2016_2021|0-24|father|1|49 (2.2)|2.164||49
cci_g: 0|cci_g|no|bd_01#inc_2016_2021|0-24|father|1|1,893 (83.6)|83.613||1893
cci_g: 1-2|cci_g|no|bd_01#inc_2016_2021|0-24|father|1|322 (14.2)|14.223||322
age_index|age_index|no|bd_01#inc_2016_2021|0-24|father|1|52.5 (48.4;56.5)|48.42|56.455|52.515
education_level: title|education_level|no|bd_01#inc_2016_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_01#inc_2016_2021|0-24|father|1|450 (19.9)|19.876||450
education_level: medium_education|education_level|no|bd_01#inc_2016_2021|0-24|father|1|1,128 (49.8)|49.823||1128
education_level: no_education|education_level|no|bd_01#inc_2016_2021|0-24|father|1|69 (3.0)|3.048||69
education_level: short_education|education_level|no|bd_01#inc_2016_2021|0-24|father|1|617 (27.3)|27.253||617
closest_relative_type: title|closest_relative_type|no|bd_01#inc_2016_2021|0-24|father|1||||
closest_relative_type: father|closest_relative_type|no|bd_01#inc_2016_2021|0-24|father|1|2,264 (100.0)|100||2264
__n|__n|no|bd_01#prev_2021|0-24|father|0|1,527 (100.0)|100||1527
male|male|no|bd_01#prev_2021|0-24|father|0|1,527 (100.0)|100||1527
cci_g: title|cci_g|no|bd_01#prev_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_01#prev_2021|0-24|father|0|25 (1.6)|1.637||25
cci_g: 0|cci_g|no|bd_01#prev_2021|0-24|father|0|1,293 (84.7)|84.676||1293
cci_g: 1-2|cci_g|no|bd_01#prev_2021|0-24|father|0|209 (13.7)|13.687||209
age_index|age_index|no|bd_01#prev_2021|0-24|father|0|54.2 (50.3;58.0)|50.315|58|54.222
education_level: title|education_level|no|bd_01#prev_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_01#prev_2021|0-24|father|0|389 (25.5)|25.475||389
education_level: medium_education|education_level|no|bd_01#prev_2021|0-24|father|0|801 (52.5)|52.456||801
education_level: no_education|education_level|no|bd_01#prev_2021|0-24|father|0|42 (2.8)|2.75||42
education_level: short_education|education_level|no|bd_01#prev_2021|0-24|father|0|295 (19.3)|19.319||295
closest_relative_type: title|closest_relative_type|no|bd_01#prev_2021|0-24|father|0||||
closest_relative_type: father|closest_relative_type|no|bd_01#prev_2021|0-24|father|0|1,527 (100.0)|100||1527
__n|__n|no|bd_01#prev_2021|0-24|father|1|1,527 (100.0)|100||1527
male|male|no|bd_01#prev_2021|0-24|father|1|1,527 (100.0)|100||1527
cci_g: title|cci_g|no|bd_01#prev_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_01#prev_2021|0-24|father|1|42 (2.8)|2.75||42
cci_g: 0|cci_g|no|bd_01#prev_2021|0-24|father|1|1,242 (81.3)|81.336||1242
cci_g: 1-2|cci_g|no|bd_01#prev_2021|0-24|father|1|243 (15.9)|15.914||243
age_index|age_index|no|bd_01#prev_2021|0-24|father|1|53.6 (49.4;57.5)|49.362|57.548|53.603
education_level: title|education_level|no|bd_01#prev_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_01#prev_2021|0-24|father|1|300 (19.6)|19.646||300
education_level: medium_education|education_level|no|bd_01#prev_2021|0-24|father|1|753 (49.3)|49.312||753
education_level: no_education|education_level|no|bd_01#prev_2021|0-24|father|1|41 (2.7)|2.685||41
education_level: short_education|education_level|no|bd_01#prev_2021|0-24|father|1|433 (28.4)|28.356||433
closest_relative_type: title|closest_relative_type|no|bd_01#prev_2021|0-24|father|1||||
closest_relative_type: father|closest_relative_type|no|bd_01#prev_2021|0-24|father|1|1,527 (100.0)|100||1527
__n|__n|no|bd_02#inc_2016_2021|0-24|father|0|24,599 (100.0)|100||24599
male|male|no|bd_02#inc_2016_2021|0-24|father|0|24,599 (100.0)|100||24599
cci_g: title|cci_g|no|bd_02#inc_2016_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_02#inc_2016_2021|0-24|father|0|404 (1.6)|1.642||404
cci_g: 0|cci_g|no|bd_02#inc_2016_2021|0-24|father|0|21,511 (87.4)|87.447||21511
cci_g: 1-2|cci_g|no|bd_02#inc_2016_2021|0-24|father|0|2,684 (10.9)|10.911||2684
age_index|age_index|no|bd_02#inc_2016_2021|0-24|father|0|51.1 (46.9;55.4)|46.874|55.378|51.148
education_level: title|education_level|no|bd_02#inc_2016_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_02#inc_2016_2021|0-24|father|0|6,581 (26.8)|26.753||6581
education_level: medium_education|education_level|no|bd_02#inc_2016_2021|0-24|father|0|12,747 (51.8)|51.819||12747
education_level: no_education|education_level|no|bd_02#inc_2016_2021|0-24|father|0|674 (2.7)|2.74||674
education_level: short_education|education_level|no|bd_02#inc_2016_2021|0-24|father|0|4,597 (18.7)|18.688||4597
closest_relative_type: title|closest_relative_type|no|bd_02#inc_2016_2021|0-24|father|0||||
closest_relative_type: father|closest_relative_type|no|bd_02#inc_2016_2021|0-24|father|0|24,599 (100.0)|100||24599
__n|__n|no|bd_02#inc_2016_2021|0-24|father|1|24,599 (100.0)|100||24599
male|male|no|bd_02#inc_2016_2021|0-24|father|1|24,599 (100.0)|100||24599
cci_g: title|cci_g|no|bd_02#inc_2016_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_02#inc_2016_2021|0-24|father|1|439 (1.8)|1.785||439
cci_g: 0|cci_g|no|bd_02#inc_2016_2021|0-24|father|1|21,159 (86.0)|86.016||21159
cci_g: 1-2|cci_g|no|bd_02#inc_2016_2021|0-24|father|1|3,001 (12.2)|12.2||3001
age_index|age_index|no|bd_02#inc_2016_2021|0-24|father|1|51.1 (46.8;55.5)|46.778|55.455|51.134
education_level: title|education_level|no|bd_02#inc_2016_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_02#inc_2016_2021|0-24|father|1|6,361 (25.9)|25.859||6361
education_level: medium_education|education_level|no|bd_02#inc_2016_2021|0-24|father|1|12,586 (51.2)|51.165||12586
education_level: no_education|education_level|no|bd_02#inc_2016_2021|0-24|father|1|586 (2.4)|2.382||586
education_level: short_education|education_level|no|bd_02#inc_2016_2021|0-24|father|1|5,066 (20.6)|20.594||5066
closest_relative_type: title|closest_relative_type|no|bd_02#inc_2016_2021|0-24|father|1||||
closest_relative_type: father|closest_relative_type|no|bd_02#inc_2016_2021|0-24|father|1|24,599 (100.0)|100||24599
__n|__n|no|bd_02#prev_2021|0-24|father|0|23,186 (100.0)|100||23186
male|male|no|bd_02#prev_2021|0-24|father|0|23,186 (100.0)|100||23186
cci_g: title|cci_g|no|bd_02#prev_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_02#prev_2021|0-24|father|0|425 (1.8)|1.833||425
cci_g: 0|cci_g|no|bd_02#prev_2021|0-24|father|0|19,895 (85.8)|85.806||19895
cci_g: 1-2|cci_g|no|bd_02#prev_2021|0-24|father|0|2,866 (12.4)|12.361||2866
age_index|age_index|no|bd_02#prev_2021|0-24|father|0|52.7 (48.7;56.7)|48.653|56.743|52.713
education_level: title|education_level|no|bd_02#prev_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_02#prev_2021|0-24|father|0|6,287 (27.1)|27.116||6287
education_level: medium_education|education_level|no|bd_02#prev_2021|0-24|father|0|12,001 (51.8)|51.76||12001
education_level: no_education|education_level|no|bd_02#prev_2021|0-24|father|0|688 (3.0)|2.967||688
education_level: short_education|education_level|no|bd_02#prev_2021|0-24|father|0|4,210 (18.2)|18.158||4210
closest_relative_type: title|closest_relative_type|no|bd_02#prev_2021|0-24|father|0||||
closest_relative_type: father|closest_relative_type|no|bd_02#prev_2021|0-24|father|0|23,186 (100.0)|100||23186
__n|__n|no|bd_02#prev_2021|0-24|father|1|23,186 (100.0)|100||23186
male|male|no|bd_02#prev_2021|0-24|father|1|23,186 (100.0)|100||23186
cci_g: title|cci_g|no|bd_02#prev_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_02#prev_2021|0-24|father|1|483 (2.1)|2.083||483
cci_g: 0|cci_g|no|bd_02#prev_2021|0-24|father|1|19,631 (84.7)|84.667||19631
cci_g: 1-2|cci_g|no|bd_02#prev_2021|0-24|father|1|3,072 (13.2)|13.249||3072
age_index|age_index|no|bd_02#prev_2021|0-24|father|1|52.8 (48.6;56.8)|48.568|56.809|52.768
education_level: title|education_level|no|bd_02#prev_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_02#prev_2021|0-24|father|1|6,169 (26.6)|26.607||6169
education_level: medium_education|education_level|no|bd_02#prev_2021|0-24|father|1|12,009 (51.8)|51.794||12009
education_level: no_education|education_level|no|bd_02#prev_2021|0-24|father|1|430 (1.9)|1.855||430
education_level: short_education|education_level|no|bd_02#prev_2021|0-24|father|1|4,578 (19.7)|19.745||4578
closest_relative_type: title|closest_relative_type|no|bd_02#prev_2021|0-24|father|1||||
closest_relative_type: father|closest_relative_type|no|bd_02#prev_2021|0-24|father|1|23,186 (100.0)|100||23186
__n|__n|no|bd_03#inc_2016_2021|0-24|father|0|1,713 (100.0)|100||1713
male|male|no|bd_03#inc_2016_2021|0-24|father|0|1,713 (100.0)|100||1713
cci_g: title|cci_g|no|bd_03#inc_2016_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_03#inc_2016_2021|0-24|father|0|39 (2.3)|2.277||39
cci_g: 0|cci_g|no|bd_03#inc_2016_2021|0-24|father|0|1,446 (84.4)|84.413||1446
cci_g: 1-2|cci_g|no|bd_03#inc_2016_2021|0-24|father|0|228 (13.3)|13.31||228
age_index|age_index|no|bd_03#inc_2016_2021|0-24|father|0|52.9 (49.1;56.8)|49.09|56.805|52.859
education_level: title|education_level|no|bd_03#inc_2016_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_03#inc_2016_2021|0-24|father|0|429 (25.0)|25.044||429
education_level: medium_education|education_level|no|bd_03#inc_2016_2021|0-24|father|0|902 (52.7)|52.656||902
education_level: no_education|education_level|no|bd_03#inc_2016_2021|0-24|father|0|42 (2.5)|2.452||42
education_level: short_education|education_level|no|bd_03#inc_2016_2021|0-24|father|0|340 (19.8)|19.848||340
closest_relative_type: title|closest_relative_type|no|bd_03#inc_2016_2021|0-24|father|0||||
closest_relative_type: father|closest_relative_type|no|bd_03#inc_2016_2021|0-24|father|0|1,713 (100.0)|100||1713
__n|__n|no|bd_03#inc_2016_2021|0-24|father|1|1,713 (100.0)|100||1713
male|male|no|bd_03#inc_2016_2021|0-24|father|1|1,713 (100.0)|100||1713
cci_g: title|cci_g|no|bd_03#inc_2016_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_03#inc_2016_2021|0-24|father|1|39 (2.3)|2.277||39
cci_g: 0|cci_g|no|bd_03#inc_2016_2021|0-24|father|1|1,436 (83.8)|83.83||1436
cci_g: 1-2|cci_g|no|bd_03#inc_2016_2021|0-24|father|1|238 (13.9)|13.894||238
age_index|age_index|no|bd_03#inc_2016_2021|0-24|father|1|52.7 (48.7;56.7)|48.739|56.688|52.748
education_level: title|education_level|no|bd_03#inc_2016_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_03#inc_2016_2021|0-24|father|1|488 (28.5)|28.488||488
education_level: medium_education|education_level|no|bd_03#inc_2016_2021|0-24|father|1|857 (50.0)|50.029||857
education_level: no_education|education_level|no|bd_03#inc_2016_2021|0-24|father|1|57 (3.3)|3.327||57
education_level: short_education|education_level|no|bd_03#inc_2016_2021|0-24|father|1|311 (18.2)|18.155||311
closest_relative_type: title|closest_relative_type|no|bd_03#inc_2016_2021|0-24|father|1||||
closest_relative_type: father|closest_relative_type|no|bd_03#inc_2016_2021|0-24|father|1|1,713 (100.0)|100||1713
__n|__n|no|bd_03#prev_2021|0-24|father|0|1,140 (100.0)|100||1140
male|male|no|bd_03#prev_2021|0-24|father|0|1,140 (100.0)|100||1140
cci_g: title|cci_g|no|bd_03#prev_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_03#prev_2021|0-24|father|0|14 (1.2)|1.228||14
cci_g: 0|cci_g|no|bd_03#prev_2021|0-24|father|0|976 (85.6)|85.614||976
cci_g: 1-2|cci_g|no|bd_03#prev_2021|0-24|father|0|150 (13.2)|13.158||150
age_index|age_index|no|bd_03#prev_2021|0-24|father|0|54.1 (50.3;57.9)|50.312|57.852|54.068
education_level: title|education_level|no|bd_03#prev_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_03#prev_2021|0-24|father|0|282 (24.7)|24.737||282
education_level: medium_education|education_level|no|bd_03#prev_2021|0-24|father|0|597 (52.4)|52.368||597
education_level: no_education|education_level|no|bd_03#prev_2021|0-24|father|0|34 (3.0)|2.982||34
education_level: short_education|education_level|no|bd_03#prev_2021|0-24|father|0|227 (19.9)|19.912||227
closest_relative_type: title|closest_relative_type|no|bd_03#prev_2021|0-24|father|0||||
closest_relative_type: father|closest_relative_type|no|bd_03#prev_2021|0-24|father|0|1,140 (100.0)|100||1140
__n|__n|no|bd_03#prev_2021|0-24|father|1|1,140 (100.0)|100||1140
male|male|no|bd_03#prev_2021|0-24|father|1|1,140 (100.0)|100||1140
cci_g: title|cci_g|no|bd_03#prev_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_03#prev_2021|0-24|father|1|28 (2.5)|2.456||28
cci_g: 0|cci_g|no|bd_03#prev_2021|0-24|father|1|933 (81.8)|81.842||933
cci_g: 1-2|cci_g|no|bd_03#prev_2021|0-24|father|1|179 (15.7)|15.702||179
age_index|age_index|no|bd_03#prev_2021|0-24|father|1|53.8 (49.6;57.8)|49.566|57.832|53.829
education_level: title|education_level|no|bd_03#prev_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_03#prev_2021|0-24|father|1|338 (29.6)|29.649||338
education_level: medium_education|education_level|no|bd_03#prev_2021|0-24|father|1|552 (48.4)|48.421||552
education_level: no_education|education_level|no|bd_03#prev_2021|0-24|father|1|42 (3.7)|3.684||42
education_level: short_education|education_level|no|bd_03#prev_2021|0-24|father|1|208 (18.2)|18.246||208
closest_relative_type: title|closest_relative_type|no|bd_03#prev_2021|0-24|father|1||||
closest_relative_type: father|closest_relative_type|no|bd_03#prev_2021|0-24|father|1|1,140 (100.0)|100||1140
__n|__n|no|bd_04#inc_2016_2021|0-24|father|0|471 (100.0)|100||471
male|male|no|bd_04#inc_2016_2021|0-24|father|0|471 (100.0)|100||471
cci_g: title|cci_g|no|bd_04#inc_2016_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_04#inc_2016_2021|0-24|father|0|6 (1.3)|1.274||6
cci_g: 0|cci_g|no|bd_04#inc_2016_2021|0-24|father|0|429 (91.1)|91.083||429
cci_g: 1-2|cci_g|no|bd_04#inc_2016_2021|0-24|father|0|36 (7.6)|7.643||36
age_index|age_index|no|bd_04#inc_2016_2021|0-24|father|0|47.4 (40.8;52.8)|40.838|52.811|47.403
education_level: title|education_level|no|bd_04#inc_2016_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_04#inc_2016_2021|0-24|father|0|135 (28.7)|28.662||135
education_level: medium_education|education_level|no|bd_04#inc_2016_2021|0-24|father|0|223 (47.3)|47.346||223
education_level: no_education|education_level|no|bd_04#inc_2016_2021|0-24|father|0|12 (2.5)|2.548||12
education_level: short_education|education_level|no|bd_04#inc_2016_2021|0-24|father|0|101 (21.4)|21.444||101
closest_relative_type: title|closest_relative_type|no|bd_04#inc_2016_2021|0-24|father|0||||
closest_relative_type: father|closest_relative_type|no|bd_04#inc_2016_2021|0-24|father|0|471 (100.0)|100||471
__n|__n|no|bd_04#inc_2016_2021|0-24|father|1|471 (100.0)|100||471
male|male|no|bd_04#inc_2016_2021|0-24|father|1|471 (100.0)|100||471
cci_g: title|cci_g|no|bd_04#inc_2016_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_04#inc_2016_2021|0-24|father|1|6 (1.3)|1.274||6
cci_g: 0|cci_g|no|bd_04#inc_2016_2021|0-24|father|1|425 (90.2)|90.234||425
cci_g: 1-2|cci_g|no|bd_04#inc_2016_2021|0-24|father|1|40 (8.5)|8.493||40
age_index|age_index|no|bd_04#inc_2016_2021|0-24|father|1|47.4 (40.0;53.0)|40.016|52.965|47.426
education_level: title|education_level|no|bd_04#inc_2016_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_04#inc_2016_2021|0-24|father|1|143 (30.4)|30.361||143
education_level: medium_education|education_level|no|bd_04#inc_2016_2021|0-24|father|1|223 (47.3)|47.346||223
education_level: no_education|education_level|no|bd_04#inc_2016_2021|0-24|father|1|12 (2.5)|2.548||12
education_level: short_education|education_level|no|bd_04#inc_2016_2021|0-24|father|1|93 (19.7)|19.745||93
closest_relative_type: title|closest_relative_type|no|bd_04#inc_2016_2021|0-24|father|1||||
closest_relative_type: father|closest_relative_type|no|bd_04#inc_2016_2021|0-24|father|1|471 (100.0)|100||471
__n|__n|no|bd_04#prev_2021|0-24|father|0|739 (100.0)|100||739
male|male|no|bd_04#prev_2021|0-24|father|0|739 (100.0)|100||739
cci_g: title|cci_g|no|bd_04#prev_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_04#prev_2021|0-24|father|0|11 (1.5)|1.488||11
cci_g: 0|cci_g|no|bd_04#prev_2021|0-24|father|0|658 (89.0)|89.039||658
cci_g: 1-2|cci_g|no|bd_04#prev_2021|0-24|father|0|70 (9.5)|9.472||70
age_index|age_index|no|bd_04#prev_2021|0-24|father|0|49.9 (44.8;54.9)|44.806|54.879|49.932
education_level: title|education_level|no|bd_04#prev_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_04#prev_2021|0-24|father|0|214 (29.0)|28.958||214
education_level: medium_education|education_level|no|bd_04#prev_2021|0-24|father|0|369 (49.9)|49.932||369
education_level: no_education|education_level|no|bd_04#prev_2021|0-24|father|0|19 (2.6)|2.571||19
education_level: short_education|education_level|no|bd_04#prev_2021|0-24|father|0|137 (18.5)|18.539||137
closest_relative_type: title|closest_relative_type|no|bd_04#prev_2021|0-24|father|0||||
closest_relative_type: father|closest_relative_type|no|bd_04#prev_2021|0-24|father|0|739 (100.0)|100||739
__n|__n|no|bd_04#prev_2021|0-24|father|1|739 (100.0)|100||739
male|male|no|bd_04#prev_2021|0-24|father|1|739 (100.0)|100||739
cci_g: title|cci_g|no|bd_04#prev_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_04#prev_2021|0-24|father|1|11 (1.5)|1.488||11
cci_g: 0|cci_g|no|bd_04#prev_2021|0-24|father|1|651 (88.1)|88.092||651
cci_g: 1-2|cci_g|no|bd_04#prev_2021|0-24|father|1|77 (10.4)|10.419||77
age_index|age_index|no|bd_04#prev_2021|0-24|father|1|49.6 (44.4;54.6)|44.366|54.586|49.638
education_level: title|education_level|no|bd_04#prev_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_04#prev_2021|0-24|father|1|204 (27.6)|27.605||204
education_level: medium_education|education_level|no|bd_04#prev_2021|0-24|father|1|365 (49.4)|49.391||365
education_level: no_education|education_level|no|bd_04#prev_2021|0-24|father|1|24 (3.2)|3.248||24
education_level: short_education|education_level|no|bd_04#prev_2021|0-24|father|1|146 (19.8)|19.756||146
closest_relative_type: title|closest_relative_type|no|bd_04#prev_2021|0-24|father|1||||
closest_relative_type: father|closest_relative_type|no|bd_04#prev_2021|0-24|father|1|739 (100.0)|100||739
__n|__n|no|bd_05#inc_2016_2021|0-24|father|0|873 (100.0)|100||873
male|male|no|bd_05#inc_2016_2021|0-24|father|0|873 (100.0)|100||873
cci_g: title|cci_g|no|bd_05#inc_2016_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_05#inc_2016_2021|0-24|father|0|6 (0.7)|0.687||6
cci_g: 0|cci_g|no|bd_05#inc_2016_2021|0-24|father|0|800 (91.6)|91.638||800
cci_g: 1-2|cci_g|no|bd_05#inc_2016_2021|0-24|father|0|67 (7.7)|7.675||67
age_index|age_index|no|bd_05#inc_2016_2021|0-24|father|0|37.4 (32.6;42.9)|32.586|42.919|37.402
education_level: title|education_level|no|bd_05#inc_2016_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_05#inc_2016_2021|0-24|father|0|309 (35.4)|35.395||309
education_level: medium_education|education_level|no|bd_05#inc_2016_2021|0-24|father|0|373 (42.7)|42.726||373
education_level: no_education|education_level|no|bd_05#inc_2016_2021|0-24|father|0|40 (4.6)|4.582||40
education_level: short_education|education_level|no|bd_05#inc_2016_2021|0-24|father|0|151 (17.3)|17.297||151
closest_relative_type: title|closest_relative_type|no|bd_05#inc_2016_2021|0-24|father|0||||
