same_education_req|var_pop|agegroup|closest_relative_type|case_relative|__var|__label|__stat_char|__stat_num2|__stat_num3|__stat_num1
no|bd_00#inc_2016_2021|0-24|father|1|education_level|education_level: medium_education|41,977 (50.5)|50.4713237946375||41977
no|bd_00#inc_2016_2021|0-24|father|1|education_level|education_level: no_education|2,581 (3.1)|3.10328243356979||2581
no|bd_00#inc_2016_2021|0-24|father|1|education_level|education_level: short_education|14,239 (17.1)|17.1203558975592||14239
no|bd_00#inc_2016_2021|0-24|mother|0|__n|__n|67,073 (100.0)|100||67073
no|bd_00#inc_2016_2021|0-24|mother|0|male|male|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|mother|0|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|0-24|mother|0|cci_g|cci_g: +3|403 (0.6)|0.6008378930419||403
no|bd_00#inc_2016_2021|0-24|mother|0|cci_g|cci_g: 0|61,747 (92.1)|92.0593979693766||61747
no|bd_00#inc_2016_2021|0-24|mother|0|cci_g|cci_g: 1-2|4,923 (7.3)|7.33976413758144||4923
no|bd_00#inc_2016_2021|0-24|mother|0|age_index|age_index|45.9 (40.2;50.9)|40.2|50.8739726027397|45.929770192
no|bd_00#inc_2016_2021|0-24|mother|0|education_level|education_level: title||||
no|bd_00#inc_2016_2021|0-24|mother|0|education_level|education_level: long_education|28,585 (42.6)|42.6177448451687||28585
no|bd_00#inc_2016_2021|0-24|mother|0|education_level|education_level: medium_education|27,732 (41.3)|41.3459961534447||27732
no|bd_00#inc_2016_2021|0-24|mother|0|education_level|education_level: no_education|2,282 (3.4)|3.40226320576088||2282
no|bd_00#inc_2016_2021|0-24|mother|0|education_level|education_level: short_education|8,474 (12.6)|12.6339957956256||8474
no|bd_00#inc_2016_2021|0-24|mother|1|__n|__n|67,073 (100.0)|100||67073
no|bd_00#inc_2016_2021|0-24|mother|1|male|male|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|mother|1|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|0-24|mother|1|cci_g|cci_g: +3|456 (0.7)|0.67985627599779||456
no|bd_00#inc_2016_2021|0-24|mother|1|cci_g|cci_g: 0|60,934 (90.8)|90.8472857930911||60934
no|bd_00#inc_2016_2021|0-24|mother|1|cci_g|cci_g: 1-2|5,683 (8.5)|8.47285793091109||5683
no|bd_00#inc_2016_2021|0-24|mother|1|age_index|age_index|45.9 (39.9;50.8)|39.8876712328767|50.836177857624|45.858926566
no|bd_00#inc_2016_2021|0-24|mother|1|education_level|education_level: title||||
no|bd_00#inc_2016_2021|0-24|mother|1|education_level|education_level: long_education|27,440 (40.9)|40.9106495907444||27440
no|bd_00#inc_2016_2021|0-24|mother|1|education_level|education_level: medium_education|28,123 (41.9)|41.9289430918551||28123
no|bd_00#inc_2016_2021|0-24|mother|1|education_level|education_level: no_education|2,247 (3.4)|3.35008125475228||2247
no|bd_00#inc_2016_2021|0-24|mother|1|education_level|education_level: short_education|9,263 (13.8)|13.8103260626481||9263
no|bd_00#inc_2016_2021|25-64|child|0|__n|__n|55,822 (100.0)|100||55822
no|bd_00#inc_2016_2021|25-64|child|0|male|male|29,440 (52.7)|52.7390634516857||29440
no|bd_00#inc_2016_2021|25-64|child|0|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|25-64|child|0|cci_g|cci_g: +3|59 (0.1)|0.105693095912||59
no|bd_00#inc_2016_2021|25-64|child|0|cci_g|cci_g: 0|53,282 (95.4)|95.4498226505678||53282
no|bd_00#inc_2016_2021|25-64|child|0|cci_g|cci_g: 1-2|2,481 (4.4)|4.44448425352011||2481
no|bd_00#inc_2016_2021|25-64|child|0|age_index|age_index|16.8 (8.8;25.5)|8.78356164383561|25.4911071187963|16.82739726
no|bd_00#inc_2016_2021|25-64|child|0|education_level|education_level: title||||
no|bd_00#inc_2016_2021|25-64|child|0|education_level|education_level: long_education|6,793 (12.2)|12.169037297123||6793
no|bd_00#inc_2016_2021|25-64|child|0|education_level|education_level: medium_education|10,826 (19.4)|19.3937873956504||10826
no|bd_00#inc_2016_2021|25-64|child|0|education_level|education_level: no_education|21,476 (38.5)|38.4722869119701||21476
no|bd_00#inc_2016_2021|25-64|child|0|education_level|education_level: short_education|16,727 (30.0)|29.9648883952563||16727
no|bd_00#inc_2016_2021|25-64|child|1|__n|__n|55,822 (100.0)|100||55822
no|bd_00#inc_2016_2021|25-64|child|1|male|male|29,219 (52.3)|52.343162194117||29219
no|bd_00#inc_2016_2021|25-64|child|1|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|25-64|child|1|cci_g|cci_g: +3|69 (0.1)|0.12360717996488||69
no|bd_00#inc_2016_2021|25-64|child|1|cci_g|cci_g: 0|52,982 (94.9)|94.9124001289814||52982
no|bd_00#inc_2016_2021|25-64|child|1|cci_g|cci_g: 1-2|2,771 (5.0)|4.9639926910537||2771
no|bd_00#inc_2016_2021|25-64|child|1|age_index|age_index|17.0 (9.3;25.5)|9.26405419567333|25.545205479452|16.955995958
no|bd_00#inc_2016_2021|25-64|child|1|education_level|education_level: title||||
no|bd_00#inc_2016_2021|25-64|child|1|education_level|education_level: long_education|6,311 (11.3)|11.305578445774||6311
no|bd_00#inc_2016_2021|25-64|child|1|education_level|education_level: medium_education|10,844 (19.4)|19.4260327469456||10844
no|bd_00#inc_2016_2021|25-64|child|1|education_level|education_level: no_education|20,957 (37.5)|37.5425459496255||20957
no|bd_00#inc_2016_2021|25-64|child|1|education_level|education_level: short_education|17,710 (31.7)|31.7258428576546||17710
no|bd_00#inc_2016_2021|25-64|grouped|0|__n|__n|208,448 (100.0)|100||208448
no|bd_00#inc_2016_2021|25-64|grouped|0|male|male|110,954 (53.2)|53.2286229659195||110954
no|bd_00#inc_2016_2021|25-64|grouped|0|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|25-64|grouped|0|cci_g|cci_g: +3|2,586 (1.2)|1.2405971753147||2586
no|bd_00#inc_2016_2021|25-64|grouped|0|cci_g|cci_g: 0|187,348 (89.9)|89.8775713847098||187348
no|bd_00#inc_2016_2021|25-64|grouped|0|cci_g|cci_g: 1-2|18,514 (8.9)|8.88183143997543||18514
no|bd_00#inc_2016_2021|25-64|grouped|0|age_index|age_index|42.3 (26.8;56.7)|26.7913017441425|56.7218466951119|42.326027397
no|bd_00#inc_2016_2021|25-64|grouped|0|education_level|education_level: title||||
no|bd_00#inc_2016_2021|25-64|grouped|0|education_level|education_level: long_education|54,819 (26.3)|26.2986452256678||54819
no|bd_00#inc_2016_2021|25-64|grouped|0|education_level|education_level: medium_education|80,439 (38.6)|38.5894803500153||80439
no|bd_00#inc_2016_2021|25-64|grouped|0|education_level|education_level: no_education|28,812 (13.8)|13.822152287381||28812
no|bd_00#inc_2016_2021|25-64|grouped|0|education_level|education_level: short_education|44,378 (21.3)|21.2897221369358||44378
no|bd_00#inc_2016_2021|25-64|grouped|1|__n|__n|208,448 (100.0)|100||208448
no|bd_00#inc_2016_2021|25-64|grouped|1|male|male|111,065 (53.3)|53.2818736567393||111065
no|bd_00#inc_2016_2021|25-64|grouped|1|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|25-64|grouped|1|cci_g|cci_g: +3|2,736 (1.3)|1.31255756831439||2736
no|bd_00#inc_2016_2021|25-64|grouped|1|cci_g|cci_g: 0|186,473 (89.5)|89.4578024255449||186473
no|bd_00#inc_2016_2021|25-64|grouped|1|cci_g|cci_g: 1-2|19,239 (9.2)|9.22964000614062||19239
no|bd_00#inc_2016_2021|25-64|grouped|1|age_index|age_index|42.2 (26.7;56.5)|26.6821730668463|56.5294108840482|42.157654016
no|bd_00#inc_2016_2021|25-64|grouped|1|education_level|education_level: title||||
no|bd_00#inc_2016_2021|25-64|grouped|1|education_level|education_level: long_education|51,252 (24.6)|24.5874270801351||51252
no|bd_00#inc_2016_2021|25-64|grouped|1|education_level|education_level: medium_education|80,730 (38.7)|38.7290835124347||80730
no|bd_00#inc_2016_2021|25-64|grouped|1|education_level|education_level: no_education|28,523 (13.7)|13.6835085968682||28523
no|bd_00#inc_2016_2021|25-64|grouped|1|education_level|education_level: short_education|47,943 (23.0)|22.9999808105618||47943
no|bd_00#inc_2016_2021|25-64|parent|0|__n|__n|32,665 (100.0)|100||32665
no|bd_00#inc_2016_2021|25-64|parent|0|male|male|12,454 (38.1)|38.126435022195||12454
no|bd_00#inc_2016_2021|25-64|parent|0|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|25-64|parent|0|cci_g|cci_g: +3|1,415 (4.3)|4.33185366600336||1415
no|bd_00#inc_2016_2021|25-64|parent|0|cci_g|cci_g: 0|24,871 (76.1)|76.1395989591305||24871
no|bd_00#inc_2016_2021|25-64|parent|0|cci_g|cci_g: 1-2|6,379 (19.5)|19.528547374866||6379
no|bd_00#inc_2016_2021|25-64|parent|0|age_index|age_index|65.9 (58.5;74.4)|58.4602739726027|74.3835616438356|65.915180777
no|bd_00#inc_2016_2021|25-64|parent|0|education_level|education_level: title||||
no|bd_00#inc_2016_2021|25-64|parent|0|education_level|education_level: long_education|7,100 (21.7)|21.735802847084||7100
no|bd_00#inc_2016_2021|25-64|parent|0|education_level|education_level: medium_education|15,333 (46.9)|46.9401500076534||15333
no|bd_00#inc_2016_2021|25-64|parent|0|education_level|education_level: no_education|1,407 (4.3)|4.30736262054186||1407
no|bd_00#inc_2016_2021|25-64|parent|0|education_level|education_level: short_education|8,825 (27.0)|27.0166845247206||8825
no|bd_00#inc_2016_2021|25-64|parent|1|__n|__n|32,665 (100.0)|100||32665
no|bd_00#inc_2016_2021|25-64|parent|1|male|male|12,773 (39.1)|39.1030154599724||12773
no|bd_00#inc_2016_2021|25-64|parent|1|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|25-64|parent|1|cci_g|cci_g: +3|1,452 (4.4)|4.44512475126282||1452
no|bd_00#inc_2016_2021|25-64|parent|1|cci_g|cci_g: 0|24,798 (75.9)|75.9161181692943||24798
no|bd_00#inc_2016_2021|25-64|parent|1|cci_g|cci_g: 1-2|6,415 (19.6)|19.6387570794428||6415
no|bd_00#inc_2016_2021|25-64|parent|1|age_index|age_index|65.6 (58.2;74.0)|58.2298300771015|73.9643835616438|65.550684932
no|bd_00#inc_2016_2021|25-64|parent|1|education_level|education_level: title||||
no|bd_00#inc_2016_2021|25-64|parent|1|education_level|education_level: long_education|6,891 (21.1)|21.0959742844022||6891
no|bd_00#inc_2016_2021|25-64|parent|1|education_level|education_level: medium_education|15,556 (47.6)|47.6228378998928||15556
no|bd_00#inc_2016_2021|25-64|parent|1|education_level|education_level: no_education|1,366 (4.2)|4.18184601255166||1366
no|bd_00#inc_2016_2021|25-64|parent|1|education_level|education_level: short_education|8,852 (27.1)|27.0993418031532||8852
no|bd_00#inc_2016_2021|25-64|partner|0|__n|__n|90,209 (100.0)|100||90209
no|bd_00#inc_2016_2021|25-64|partner|0|male|male|52,367 (58.1)|58.0507488166369||52367
no|bd_00#inc_2016_2021|25-64|partner|0|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|25-64|partner|0|cci_g|cci_g: +3|772 (0.9)|0.85579044219534||772
no|bd_00#inc_2016_2021|25-64|partner|0|cci_g|cci_g: 0|82,345 (91.3)|91.2824662727665||82345
no|bd_00#inc_2016_2021|25-64|partner|0|cci_g|cci_g: 1-2|7,092 (7.9)|7.86174328503807||7092
no|bd_00#inc_2016_2021|25-64|partner|0|age_index|age_index|46.4 (36.4;55.1)|36.3909050078598|55.0573321356389|46.394520548
no|bd_00#inc_2016_2021|25-64|partner|0|education_level|education_level: title||||
no|bd_00#inc_2016_2021|25-64|partner|0|education_level|education_level: long_education|32,284 (35.8)|35.7880034142934||32284
no|bd_00#inc_2016_2021|25-64|partner|0|education_level|education_level: medium_education|40,741 (45.2)|45.1628994889645||40741
no|bd_00#inc_2016_2021|25-64|partner|0|education_level|education_level: no_education|5,342 (5.9)|5.92180381114966||5342
no|bd_00#inc_2016_2021|25-64|partner|0|education_level|education_level: short_education|11,842 (13.1)|13.1272932855923||11842
no|bd_00#inc_2016_2021|25-64|partner|1|__n|__n|90,209 (100.0)|100||90209
no|bd_00#inc_2016_2021|25-64|partner|1|male|male|52,415 (58.1)|58.1039585850635||52415
no|bd_00#inc_2016_2021|25-64|partner|1|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|25-64|partner|1|cci_g|cci_g: +3|886 (1.0)|0.98216364220864||886
no|bd_00#inc_2016_2021|25-64|partner|1|cci_g|cci_g: 0|81,779 (90.7)|90.6550344200689||81779
no|bd_00#inc_2016_2021|25-64|partner|1|cci_g|cci_g: 1-2|7,544 (8.4)|8.3628019377224||7544
no|bd_00#inc_2016_2021|25-64|partner|1|age_index|age_index|46.3 (36.3;55.0)|36.3448761134815|55.0356164383561|46.312328767
no|bd_00#inc_2016_2021|25-64|partner|1|education_level|education_level: title||||
no|bd_00#inc_2016_2021|25-64|partner|1|education_level|education_level: long_education|29,971 (33.2)|33.2239576982341||29971
no|bd_00#inc_2016_2021|25-64|partner|1|education_level|education_level: medium_education|40,596 (45.0)|45.0021616468423||40596
no|bd_00#inc_2016_2021|25-64|partner|1|education_level|education_level: no_education|5,621 (6.2)|6.23108559012958||5621
no|bd_00#inc_2016_2021|25-64|partner|1|education_level|education_level: short_education|14,021 (15.5)|15.5427950647939||14021
no|bd_00#inc_2016_2021|25-64|sibling|0|__n|__n|29,752 (100.0)|100||29752
no|bd_00#inc_2016_2021|25-64|sibling|0|male|male|16,693 (56.1)|56.1071524603388||16693
no|bd_00#inc_2016_2021|25-64|sibling|0|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|25-64|sibling|0|cci_g|cci_g: +3|340 (1.1)|1.14278031728959||340
no|bd_00#inc_2016_2021|25-64|sibling|0|cci_g|cci_g: 0|26,850 (90.2)|90.2460338800753||26850
no|bd_00#inc_2016_2021|25-64|sibling|0|cci_g|cci_g: 1-2|2,562 (8.6)|8.61118580263511||2562
no|bd_00#inc_2016_2021|25-64|sibling|0|age_index|age_index|45.2 (30.6;56.3)|30.5831312223968|56.2996070065124|45.183498016
no|bd_00#inc_2016_2021|25-64|sibling|0|education_level|education_level: title||||
no|bd_00#inc_2016_2021|25-64|sibling|0|education_level|education_level: long_education|8,642 (29.0)|29.0467867706372||8642
no|bd_00#inc_2016_2021|25-64|sibling|0|education_level|education_level: medium_education|13,539 (45.5)|45.5061844581876||13539
no|bd_00#inc_2016_2021|25-64|sibling|0|education_level|education_level: no_education|587 (2.0)|1.97297660661468||587
no|bd_00#inc_2016_2021|25-64|sibling|0|education_level|education_level: short_education|6,984 (23.5)|23.4740521645603||6984
no|bd_00#inc_2016_2021|25-64|sibling|1|__n|__n|29,752 (100.0)|100||29752
no|bd_00#inc_2016_2021|25-64|sibling|1|male|male|16,658 (56.0)|55.9895133100295||16658
no|bd_00#inc_2016_2021|25-64|sibling|1|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|25-64|sibling|1|cci_g|cci_g: +3|329 (1.1)|1.10580801290669||329
no|bd_00#inc_2016_2021|25-64|sibling|1|cci_g|cci_g: 0|26,914 (90.5)|90.4611454692121||26914
no|bd_00#inc_2016_2021|25-64|sibling|1|cci_g|cci_g: 1-2|2,509 (8.4)|8.43304651788115||2509
no|bd_00#inc_2016_2021|25-64|sibling|1|age_index|age_index|44.6 (30.2;55.7)|30.1627853881278|55.7250355565536|44.64109589
no|bd_00#inc_2016_2021|25-64|sibling|1|education_level|education_level: title||||
no|bd_00#inc_2016_2021|25-64|sibling|1|education_level|education_level: long_education|8,079 (27.2)|27.1544770099489||8079
no|bd_00#inc_2016_2021|25-64|sibling|1|education_level|education_level: medium_education|13,734 (46.2)|46.161602581339||13734
no|bd_00#inc_2016_2021|25-64|sibling|1|education_level|education_level: no_education|579 (1.9)|1.94608765797257||579
no|bd_00#inc_2016_2021|25-64|sibling|1|education_level|education_level: short_education|7,360 (24.7)|24.7378327507394||7360
no|bd_00#inc_2016_2021|65+|child|0|__n|__n|66,396 (100.0)|100||66396
no|bd_00#inc_2016_2021|65+|child|0|male|male|37,241 (56.1)|56.0892222423037||37241
no|bd_00#inc_2016_2021|65+|child|0|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|65+|child|0|cci_g|cci_g: +3|600 (0.9)|0.9036688957166||600
no|bd_00#inc_2016_2021|65+|child|0|cci_g|cci_g: 0|59,898 (90.2)|90.2132658593891||59898
no|bd_00#inc_2016_2021|65+|child|0|cci_g|cci_g: 1-2|5,898 (8.9)|8.88306524489427||5898
no|bd_00#inc_2016_2021|65+|child|0|age_index|age_index|51.2 (44.8;56.8)|44.8216969833071|56.8453664196422|51.164158994
no|bd_00#inc_2016_2021|65+|child|0|education_level|education_level: title||||
no|bd_00#inc_2016_2021|65+|child|0|education_level|education_level: long_education|23,841 (35.9)|35.9072835712994||23841
no|bd_00#inc_2016_2021|65+|child|0|education_level|education_level: medium_education|33,035 (49.8)|49.7545032833303||33035
no|bd_00#inc_2016_2021|65+|child|0|education_level|education_level: no_education|563 (0.8)|0.84794264714741||563
no|bd_00#inc_2016_2021|65+|child|0|education_level|education_level: short_education|8,957 (13.5)|13.4902704982227||8957
no|bd_00#inc_2016_2021|65+|child|1|__n|__n|66,396 (100.0)|100||66396
no|bd_00#inc_2016_2021|65+|child|1|male|male|37,345 (56.2)|56.2458581842279||37345
no|bd_00#inc_2016_2021|65+|child|1|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|65+|child|1|cci_g|cci_g: +3|657 (1.0)|0.98951744080968||657
no|bd_00#inc_2016_2021|65+|child|1|cci_g|cci_g: 0|59,649 (89.8)|89.8382432676667||59649
no|bd_00#inc_2016_2021|65+|child|1|cci_g|cci_g: 1-2|6,090 (9.2)|9.17223929152358||6090
no|bd_00#inc_2016_2021|65+|child|1|age_index|age_index|51.3 (45.0;56.9)|45.0301369863013|56.9397260273972|51.32422337
no|bd_00#inc_2016_2021|65+|child|1|education_level|education_level: title||||
no|bd_00#inc_2016_2021|65+|child|1|education_level|education_level: long_education|23,234 (35.0)|34.9930718717995||23234
no|bd_00#inc_2016_2021|65+|child|1|education_level|education_level: medium_education|33,228 (50.0)|50.0451834447858||33228
no|bd_00#inc_2016_2021|65+|child|1|education_level|education_level: no_education|655 (1.0)|0.98650521115729||655
no|bd_00#inc_2016_2021|65+|child|1|education_level|education_level: short_education|9,279 (14.0)|13.9752394722573||9279
no|bd_00#inc_2016_2021|65+|grouped|0|__n|__n|108,084 (100.0)|100||108084
no|bd_00#inc_2016_2021|65+|grouped|0|male|male|54,361 (50.3)|50.295140816402||54361
no|bd_00#inc_2016_2021|65+|grouped|0|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|65+|grouped|0|cci_g|cci_g: +3|3,081 (2.9)|2.85056067503053||3081
no|bd_00#inc_2016_2021|65+|grouped|0|cci_g|cci_g: 0|89,000 (82.3)|82.343362569853||89000
no|bd_00#inc_2016_2021|65+|grouped|0|cci_g|cci_g: 1-2|16,003 (14.8)|14.8060767551163||16003
no|bd_00#inc_2016_2021|65+|grouped|0|age_index|age_index|58.2 (49.0;70.9)|48.9653679167602|70.8821917808219|58.210958904
no|bd_00#inc_2016_2021|65+|grouped|0|education_level|education_level: title||||
no|bd_00#inc_2016_2021|65+|grouped|0|education_level|education_level: long_education|32,175 (29.8)|29.7685133784834||32175
no|bd_00#inc_2016_2021|65+|grouped|0|education_level|education_level: medium_education|52,285 (48.4)|48.3744124939861||52285
no|bd_00#inc_2016_2021|65+|grouped|0|education_level|education_level: no_education|3,076 (2.8)|2.84593464342548||3076
no|bd_00#inc_2016_2021|65+|grouped|0|education_level|education_level: short_education|20,548 (19.0)|19.0111394841049||20548
no|bd_00#inc_2016_2021|65+|grouped|1|__n|__n|108,084 (100.0)|100||108084
no|bd_00#inc_2016_2021|65+|grouped|1|male|male|54,474 (50.4)|50.3996891306761||54474
no|bd_00#inc_2016_2021|65+|grouped|1|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|65+|grouped|1|cci_g|cci_g: +3|3,449 (3.2)|3.19103660116205||3449
no|bd_00#inc_2016_2021|65+|grouped|1|cci_g|cci_g: 0|88,265 (81.7)|81.663335923911||88265
no|bd_00#inc_2016_2021|65+|grouped|1|cci_g|cci_g: 1-2|16,370 (15.1)|15.1456274749269||16370
no|bd_00#inc_2016_2021|65+|grouped|1|age_index|age_index|58.2 (49.1;70.8)|49.0956957856127|70.8410958904109|58.216876263
no|bd_00#inc_2016_2021|65+|grouped|1|education_level|education_level: title||||
no|bd_00#inc_2016_2021|65+|grouped|1|education_level|education_level: long_education|31,510 (29.2)|29.153251175012||31510
no|bd_00#inc_2016_2021|65+|grouped|1|education_level|education_level: medium_education|52,497 (48.6)|48.5705562340402||52497
no|bd_00#inc_2016_2021|65+|grouped|1|education_level|education_level: no_education|3,340 (3.1)|3.09018911217201||3340
no|bd_00#inc_2016_2021|65+|grouped|1|education_level|education_level: short_education|20,737 (19.2)|19.1860034787757||20737
no|bd_00#inc_2016_2021|65+|partner|0|__n|__n|41,688 (100.0)|100||41688
no|bd_00#inc_2016_2021|65+|partner|0|male|male|17,120 (41.1)|41.0669737094607||17120
no|bd_00#inc_2016_2021|65+|partner|0|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|65+|partner|0|cci_g|cci_g: +3|2,481 (6.0)|5.95135290731145||2481
no|bd_00#inc_2016_2021|65+|partner|0|cci_g|cci_g: 0|29,102 (69.8)|69.8090577624256||29102
no|bd_00#inc_2016_2021|65+|partner|0|cci_g|cci_g: 1-2|10,105 (24.2)|24.2395893302629||10105
no|bd_00#inc_2016_2021|65+|partner|0|age_index|age_index|73.4 (68.8;78.4)|68.7897073134216|78.4338124111086|73.403031664
no|bd_00#inc_2016_2021|65+|partner|0|education_level|education_level: title||||
no|bd_00#inc_2016_2021|65+|partner|0|education_level|education_level: long_education|8,334 (20.0)|19.9913644214162||8334
no|bd_00#inc_2016_2021|65+|partner|0|education_level|education_level: medium_education|19,250 (46.2)|46.1763577048551||19250
no|bd_00#inc_2016_2021|65+|partner|0|education_level|education_level: no_education|2,513 (6.0)|6.02811360583381||2513
no|bd_00#inc_2016_2021|65+|partner|0|education_level|education_level: short_education|11,591 (27.8)|27.8041642678948||11591
no|bd_00#inc_2016_2021|65+|partner|1|__n|__n|41,688 (100.0)|100||41688
no|bd_00#inc_2016_2021|65+|partner|1|male|male|17,129 (41.1)|41.0885626559201||17129
no|bd_00#inc_2016_2021|65+|partner|1|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|65+|partner|1|cci_g|cci_g: +3|2,792 (6.7)|6.69737094607561||2792
no|bd_00#inc_2016_2021|65+|partner|1|cci_g|cci_g: 0|28,616 (68.6)|68.6432546536173||28616
no|bd_00#inc_2016_2021|65+|partner|1|cci_g|cci_g: 1-2|10,280 (24.7)|24.659374400307||10280
no|bd_00#inc_2016_2021|65+|partner|1|age_index|age_index|73.4 (68.7;78.4)|68.7154577438431|78.37633430646|73.418515607
no|bd_00#inc_2016_2021|65+|partner|1|education_level|education_level: title||||
no|bd_00#inc_2016_2021|65+|partner|1|education_level|education_level: long_education|8,276 (19.9)|19.8522356553444||8276
no|bd_00#inc_2016_2021|65+|partner|1|education_level|education_level: medium_education|19,269 (46.2)|46.2219343696027||19269
no|bd_00#inc_2016_2021|65+|partner|1|education_level|education_level: no_education|2,685 (6.4)|6.44070236039148||2685
no|bd_00#inc_2016_2021|65+|partner|1|education_level|education_level: short_education|11,458 (27.5)|27.4851276146612||11458
no|bd_00#prev_2021|0-24|father|0|__n|__n|131,137 (100.0)|100||131137
no|bd_00#prev_2021|0-24|father|0|male|male|131,137 (100.0)|100||131137
no|bd_00#prev_2021|0-24|father|0|cci_g|cci_g: title||||
no|bd_00#prev_2021|0-24|father|0|cci_g|cci_g: +3|1,062 (0.8)|0.8098400908973||1062
no|bd_00#prev_2021|0-24|father|0|cci_g|cci_g: 0|119,856 (91.4)|91.397546077766||119856
no|bd_00#prev_2021|0-24|father|0|cci_g|cci_g: 1-2|10,219 (7.8)|7.79261383133669||10219
no|bd_00#prev_2021|0-24|father|0|age_index|age_index|50.3 (45.3;54.9)|45.345205479452|54.8904109589041|50.271232877
no|bd_00#prev_2021|0-24|father|0|education_level|education_level: title||||
no|bd_00#prev_2021|0-24|father|0|education_level|education_level: long_education|41,685 (31.8)|31.7873674096555||41685
no|bd_00#prev_2021|0-24|father|0|education_level|education_level: medium_education|65,436 (49.9)|49.8989606289605||65436
no|bd_00#prev_2021|0-24|father|0|education_level|education_level: no_education|4,296 (3.3)|3.27596330555068||4296
no|bd_00#prev_2021|0-24|father|0|education_level|education_level: short_education|19,720 (15.0)|15.0377086558332||19720
no|bd_00#prev_2021|0-24|father|1|__n|__n|131,137 (100.0)|100||131137
no|bd_00#prev_2021|0-24|father|1|male|male|131,137 (100.0)|100||131137
no|bd_00#prev_2021|0-24|father|1|cci_g|cci_g: title||||
no|bd_00#prev_2021|0-24|father|1|cci_g|cci_g: +3|1,133 (0.9)|0.86398194254863||1133
no|bd_00#prev_2021|0-24|father|1|cci_g|cci_g: 0|118,836 (90.6)|90.6197335610849||118836
no|bd_00#prev_2021|0-24|father|1|cci_g|cci_g: 1-2|11,168 (8.5)|8.51628449636639||11168
no|bd_00#prev_2021|0-24|father|1|age_index|age_index|50.0 (44.9;54.8)|44.9453551912568|54.7780821917808|50.024657534
no|bd_00#prev_2021|0-24|father|1|education_level|education_level: title||||
