__label|__var|additional_relative_req|var_pop|agegroup|closest_relative_group|case_relative|__stat_char|__stat_num2|__stat_num3|__stat_num1
age_index|age_index|no|bd_00#prev_2021|0-24|father|0|50.3 (45.4;54.9)|45.3506849315068|54.8575342465753|50.273972603
education_level: title|education_level|no|bd_00#prev_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_00#prev_2021|0-24|father|0|41,710 (31.8)|31.8064314419271||41710
education_level: medium_education|education_level|no|bd_00#prev_2021|0-24|father|0|65,429 (49.9)|49.8936226999245||65429
education_level: no_education|education_level|no|bd_00#prev_2021|0-24|father|0|4,369 (3.3)|3.33163027978373||4369
education_level: short_education|education_level|no|bd_00#prev_2021|0-24|father|0|19,629 (15.0)|14.9683155783646||19629
closest_relative_type: title|closest_relative_type|no|bd_00#prev_2021|0-24|father|0||||
closest_relative_type: father|closest_relative_type|no|bd_00#prev_2021|0-24|father|0|131,137 (100.0)|100||131137
__n|__n|no|bd_00#prev_2021|0-24|father|1|131,137 (100.0)|100||131137
male|male|no|bd_00#prev_2021|0-24|father|1|131,137 (100.0)|100||131137
cci_g: title|cci_g|no|bd_00#prev_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_00#prev_2021|0-24|father|1|1,133 (0.9)|0.86398194254863||1133
cci_g: 0|cci_g|no|bd_00#prev_2021|0-24|father|1|118,836 (90.6)|90.6197335610849||118836
cci_g: 1-2|cci_g|no|bd_00#prev_2021|0-24|father|1|11,168 (8.5)|8.51628449636639||11168
age_index|age_index|no|bd_00#prev_2021|0-24|father|1|50.0 (44.9;54.8)|44.9453551912568|54.7780821917808|50.024657534
education_level: title|education_level|no|bd_00#prev_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_00#prev_2021|0-24|father|1|38,155 (29.1)|29.0955260529065||38155
education_level: medium_education|education_level|no|bd_00#prev_2021|0-24|father|1|67,634 (51.6)|51.575070346279||67634
education_level: no_education|education_level|no|bd_00#prev_2021|0-24|father|1|3,030 (2.3)|2.31056071131717||3030
education_level: short_education|education_level|no|bd_00#prev_2021|0-24|father|1|22,318 (17.0)|17.0188428894972||22318
closest_relative_type: title|closest_relative_type|no|bd_00#prev_2021|0-24|father|1||||
closest_relative_type: father|closest_relative_type|no|bd_00#prev_2021|0-24|father|1|131,137 (100.0)|100||131137
__n|__n|no|bd_01#inc_2016_2021|0-24|father|0|2,264 (100.0)|100||2264
male|male|no|bd_01#inc_2016_2021|0-24|father|0|2,264 (100.0)|100||2264
cci_g: title|cci_g|no|bd_01#inc_2016_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_01#inc_2016_2021|0-24|father|0|42 (1.9)|1.85512367491166||42
cci_g: 0|cci_g|no|bd_01#inc_2016_2021|0-24|father|0|1,942 (85.8)|85.7773851590106||1942
cci_g: 1-2|cci_g|no|bd_01#inc_2016_2021|0-24|father|0|280 (12.4)|12.3674911660777||280
age_index|age_index|no|bd_01#inc_2016_2021|0-24|father|0|53.3 (49.4;56.9)|49.379687850887|56.9280821917808|53.267171944
education_level: title|education_level|no|bd_01#inc_2016_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_01#inc_2016_2021|0-24|father|0|549 (24.2)|24.2491166077738||549
education_level: medium_education|education_level|no|bd_01#inc_2016_2021|0-24|father|0|1,218 (53.8)|53.7985865724381||1218
education_level: no_education|education_level|no|bd_01#inc_2016_2021|0-24|father|0|64 (2.8)|2.82685512367491||64
education_level: short_education|education_level|no|bd_01#inc_2016_2021|0-24|father|0|433 (19.1)|19.125441696113||433
closest_relative_type: title|closest_relative_type|no|bd_01#inc_2016_2021|0-24|father|0||||
closest_relative_type: father|closest_relative_type|no|bd_01#inc_2016_2021|0-24|father|0|2,264 (100.0)|100||2264
__n|__n|no|bd_01#inc_2016_2021|0-24|father|1|2,264 (100.0)|100||2264
male|male|no|bd_01#inc_2016_2021|0-24|father|1|2,264 (100.0)|100||2264
cci_g: title|cci_g|no|bd_01#inc_2016_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_01#inc_2016_2021|0-24|father|1|49 (2.2)|2.1643109540636||49
cci_g: 0|cci_g|no|bd_01#inc_2016_2021|0-24|father|1|1,893 (83.6)|83.613074204947||1893
cci_g: 1-2|cci_g|no|bd_01#inc_2016_2021|0-24|father|1|322 (14.2)|14.2226148409894||322
age_index|age_index|no|bd_01#inc_2016_2021|0-24|father|1|52.5 (48.4;56.5)|48.4199715547571|56.4553334830451|52.514593158
education_level: title|education_level|no|bd_01#inc_2016_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_01#inc_2016_2021|0-24|father|1|450 (19.9)|19.8763250883392||450
education_level: medium_education|education_level|no|bd_01#inc_2016_2021|0-24|father|1|1,128 (49.8)|49.8233215547703||1128
education_level: no_education|education_level|no|bd_01#inc_2016_2021|0-24|father|1|69 (3.0)|3.04770318021201||69
education_level: short_education|education_level|no|bd_01#inc_2016_2021|0-24|father|1|617 (27.3)|27.2526501766784||617
closest_relative_type: title|closest_relative_type|no|bd_01#inc_2016_2021|0-24|father|1||||
closest_relative_type: father|closest_relative_type|no|bd_01#inc_2016_2021|0-24|father|1|2,264 (100.0)|100||2264
__n|__n|no|bd_01#prev_2021|0-24|father|0|1,527 (100.0)|100||1527
male|male|no|bd_01#prev_2021|0-24|father|0|1,527 (100.0)|100||1527
cci_g: title|cci_g|no|bd_01#prev_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_01#prev_2021|0-24|father|0|23 (1.5)|1.50622134905042||23
cci_g: 0|cci_g|no|bd_01#prev_2021|0-24|father|0|1,299 (85.1)|85.0687622789784||1299
cci_g: 1-2|cci_g|no|bd_01#prev_2021|0-24|father|0|205 (13.4)|13.4250163719711||205
age_index|age_index|no|bd_01#prev_2021|0-24|father|0|54.1 (50.3;57.6)|50.2684931506849|57.5835616438356|54.090410959
education_level: title|education_level|no|bd_01#prev_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_01#prev_2021|0-24|father|0|403 (26.4)|26.3916175507531||403
education_level: medium_education|education_level|no|bd_01#prev_2021|0-24|father|0|839 (54.9)|54.9443352979698||839
education_level: no_education|education_level|no|bd_01#prev_2021|0-24|father|0|34 (2.2)|2.22658808120497||34
education_level: short_education|education_level|no|bd_01#prev_2021|0-24|father|0|251 (16.4)|16.437459070072||251
closest_relative_type: title|closest_relative_type|no|bd_01#prev_2021|0-24|father|0||||
closest_relative_type: father|closest_relative_type|no|bd_01#prev_2021|0-24|father|0|1,527 (100.0)|100||1527
__n|__n|no|bd_01#prev_2021|0-24|father|1|1,527 (100.0)|100||1527
male|male|no|bd_01#prev_2021|0-24|father|1|1,527 (100.0)|100||1527
cci_g: title|cci_g|no|bd_01#prev_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_01#prev_2021|0-24|father|1|42 (2.8)|2.75049115913556||42
cci_g: 0|cci_g|no|bd_01#prev_2021|0-24|father|1|1,242 (81.3)|81.3359528487229||1242
cci_g: 1-2|cci_g|no|bd_01#prev_2021|0-24|father|1|243 (15.9)|15.9135559921414||243
age_index|age_index|no|bd_01#prev_2021|0-24|father|1|53.6 (49.4;57.5)|49.3616438356164|57.5479452054794|53.602739726
education_level: title|education_level|no|bd_01#prev_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_01#prev_2021|0-24|father|1|300 (19.6)|19.6463654223968||300
education_level: medium_education|education_level|no|bd_01#prev_2021|0-24|father|1|753 (49.3)|49.3123772102161||753
education_level: no_education|education_level|no|bd_01#prev_2021|0-24|father|1|41 (2.7)|2.68500327439423||41
education_level: short_education|education_level|no|bd_01#prev_2021|0-24|father|1|433 (28.4)|28.3562540929928||433
closest_relative_type: title|closest_relative_type|no|bd_01#prev_2021|0-24|father|1||||
closest_relative_type: father|closest_relative_type|no|bd_01#prev_2021|0-24|father|1|1,527 (100.0)|100||1527
__n|__n|no|bd_02#inc_2016_2021|0-24|father|0|24,599 (100.0)|100||24599
male|male|no|bd_02#inc_2016_2021|0-24|father|0|24,599 (100.0)|100||24599
cci_g: title|cci_g|no|bd_02#inc_2016_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_02#inc_2016_2021|0-24|father|0|437 (1.8)|1.77649497947071||437
cci_g: 0|cci_g|no|bd_02#inc_2016_2021|0-24|father|0|21,489 (87.4)|87.3572096426684||21489
cci_g: 1-2|cci_g|no|bd_02#inc_2016_2021|0-24|father|0|2,673 (10.9)|10.8662953778608||2673
age_index|age_index|no|bd_02#inc_2016_2021|0-24|father|0|51.2 (46.9;55.4)|46.9424657534246|55.4027397260274|51.167123288
education_level: title|education_level|no|bd_02#inc_2016_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_02#inc_2016_2021|0-24|father|0|6,621 (26.9)|26.9157282816374||6621
education_level: medium_education|education_level|no|bd_02#inc_2016_2021|0-24|father|0|12,754 (51.8)|51.8476360827676||12754
education_level: no_education|education_level|no|bd_02#inc_2016_2021|0-24|father|0|691 (2.8)|2.80905727875116||691
education_level: short_education|education_level|no|bd_02#inc_2016_2021|0-24|father|0|4,533 (18.4)|18.4275783568437||4533
closest_relative_type: title|closest_relative_type|no|bd_02#inc_2016_2021|0-24|father|0||||
closest_relative_type: father|closest_relative_type|no|bd_02#inc_2016_2021|0-24|father|0|24,599 (100.0)|100||24599
__n|__n|no|bd_02#inc_2016_2021|0-24|father|1|24,599 (100.0)|100||24599
male|male|no|bd_02#inc_2016_2021|0-24|father|1|24,599 (100.0)|100||24599
cci_g: title|cci_g|no|bd_02#inc_2016_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_02#inc_2016_2021|0-24|father|1|439 (1.8)|1.78462539127606||439
cci_g: 0|cci_g|no|bd_02#inc_2016_2021|0-24|father|1|21,159 (86.0)|86.0156916947843||21159
cci_g: 1-2|cci_g|no|bd_02#inc_2016_2021|0-24|father|1|3,001 (12.2)|12.1996829139395||3001
age_index|age_index|no|bd_02#inc_2016_2021|0-24|father|1|51.1 (46.8;55.5)|46.7780821917808|55.4547945205479|51.133879781
education_level: title|education_level|no|bd_02#inc_2016_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_02#inc_2016_2021|0-24|father|1|6,361 (25.9)|25.8587747469409||6361
education_level: medium_education|education_level|no|bd_02#inc_2016_2021|0-24|father|1|12,586 (51.2)|51.1646814911175||12586
education_level: no_education|education_level|no|bd_02#inc_2016_2021|0-24|father|1|586 (2.4)|2.38221065896987||586
education_level: short_education|education_level|no|bd_02#inc_2016_2021|0-24|father|1|5,066 (20.6)|20.5943331029716||5066
closest_relative_type: title|closest_relative_type|no|bd_02#inc_2016_2021|0-24|father|1||||
closest_relative_type: father|closest_relative_type|no|bd_02#inc_2016_2021|0-24|father|1|24,599 (100.0)|100||24599
__n|__n|no|bd_02#prev_2021|0-24|father|0|23,186 (100.0)|100||23186
male|male|no|bd_02#prev_2021|0-24|father|0|23,186 (100.0)|100||23186
cci_g: title|cci_g|no|bd_02#prev_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_02#prev_2021|0-24|father|0|439 (1.9)|1.89338393858362||439
cci_g: 0|cci_g|no|bd_02#prev_2021|0-24|father|0|19,934 (86.0)|85.9742948330889||19934
cci_g: 1-2|cci_g|no|bd_02#prev_2021|0-24|father|0|2,813 (12.1)|12.1323212283274||2813
age_index|age_index|no|bd_02#prev_2021|0-24|father|0|52.8 (48.6;56.7)|48.6065573770491|56.7185792349726|52.75136612
education_level: title|education_level|no|bd_02#prev_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_02#prev_2021|0-24|father|0|6,235 (26.9)|26.8912274648494||6235
education_level: medium_education|education_level|no|bd_02#prev_2021|0-24|father|0|12,012 (51.8)|51.8071249892176||12012
education_level: no_education|education_level|no|bd_02#prev_2021|0-24|father|0|646 (2.8)|2.78616406452169||646
education_level: short_education|education_level|no|bd_02#prev_2021|0-24|father|0|4,293 (18.5)|18.5154834814111||4293
closest_relative_type: title|closest_relative_type|no|bd_02#prev_2021|0-24|father|0||||
closest_relative_type: father|closest_relative_type|no|bd_02#prev_2021|0-24|father|0|23,186 (100.0)|100||23186
__n|__n|no|bd_02#prev_2021|0-24|father|1|23,186 (100.0)|100||23186
male|male|no|bd_02#prev_2021|0-24|father|1|23,186 (100.0)|100||23186
cci_g: title|cci_g|no|bd_02#prev_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_02#prev_2021|0-24|father|1|483 (2.1)|2.08315362718882||483
cci_g: 0|cci_g|no|bd_02#prev_2021|0-24|father|1|19,631 (84.7)|84.667471750194||19631
cci_g: 1-2|cci_g|no|bd_02#prev_2021|0-24|father|1|3,072 (13.2)|13.2493746226171||3072
age_index|age_index|no|bd_02#prev_2021|0-24|father|1|52.8 (48.6;56.8)|48.5683060109289|56.8087431693989|52.767759563
education_level: title|education_level|no|bd_02#prev_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_02#prev_2021|0-24|father|1|6,169 (26.6)|26.6065729319416||6169
education_level: medium_education|education_level|no|bd_02#prev_2021|0-24|father|1|12,009 (51.8)|51.7941861468127||12009
education_level: no_education|education_level|no|bd_02#prev_2021|0-24|father|1|430 (1.9)|1.85456741136893||430
education_level: short_education|education_level|no|bd_02#prev_2021|0-24|father|1|4,578 (19.7)|19.7446735098766||4578
closest_relative_type: title|closest_relative_type|no|bd_02#prev_2021|0-24|father|1||||
closest_relative_type: father|closest_relative_type|no|bd_02#prev_2021|0-24|father|1|23,186 (100.0)|100||23186
__n|__n|no|bd_03#inc_2016_2021|0-24|father|0|1,713 (100.0)|100||1713
male|male|no|bd_03#inc_2016_2021|0-24|father|0|1,713 (100.0)|100||1713
cci_g: title|cci_g|no|bd_03#inc_2016_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_03#inc_2016_2021|0-24|father|0|40 (2.3)|2.33508464681844||40
cci_g: 0|cci_g|no|bd_03#inc_2016_2021|0-24|father|0|1,437 (83.9)|83.8879159369527||1437
cci_g: 1-2|cci_g|no|bd_03#inc_2016_2021|0-24|father|0|236 (13.8)|13.7769994162288||236
age_index|age_index|no|bd_03#inc_2016_2021|0-24|father|0|52.7 (48.8;56.7)|48.8191780821917|56.6976270678943|52.652054795
education_level: title|education_level|no|bd_03#inc_2016_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_03#inc_2016_2021|0-24|father|0|400 (23.4)|23.3508464681844||400
education_level: medium_education|education_level|no|bd_03#inc_2016_2021|0-24|father|0|930 (54.3)|54.2907180385289||930
education_level: no_education|education_level|no|bd_03#inc_2016_2021|0-24|father|0|61 (3.6)|3.56100408639813||61
education_level: short_education|education_level|no|bd_03#inc_2016_2021|0-24|father|0|322 (18.8)|18.7974314068885||322
closest_relative_type: title|closest_relative_type|no|bd_03#inc_2016_2021|0-24|father|0||||
closest_relative_type: father|closest_relative_type|no|bd_03#inc_2016_2021|0-24|father|0|1,713 (100.0)|100||1713
__n|__n|no|bd_03#inc_2016_2021|0-24|father|1|1,713 (100.0)|100||1713
male|male|no|bd_03#inc_2016_2021|0-24|father|1|1,713 (100.0)|100||1713
cci_g: title|cci_g|no|bd_03#inc_2016_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_03#inc_2016_2021|0-24|father|1|39 (2.3)|2.27670753064798||39
cci_g: 0|cci_g|no|bd_03#inc_2016_2021|0-24|father|1|1,436 (83.8)|83.8295388207822||1436
cci_g: 1-2|cci_g|no|bd_03#inc_2016_2021|0-24|father|1|238 (13.9)|13.8937536485697||238
age_index|age_index|no|bd_03#inc_2016_2021|0-24|father|1|52.7 (48.7;56.7)|48.7386031888614|56.6876712328767|52.747945205
education_level: title|education_level|no|bd_03#inc_2016_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_03#inc_2016_2021|0-24|father|1|488 (28.5)|28.488032691185||488
education_level: medium_education|education_level|no|bd_03#inc_2016_2021|0-24|father|1|857 (50.0)|50.0291885580852||857
education_level: no_education|education_level|no|bd_03#inc_2016_2021|0-24|father|1|57 (3.3)|3.32749562171628||57
education_level: short_education|education_level|no|bd_03#inc_2016_2021|0-24|father|1|311 (18.2)|18.1552831290134||311
closest_relative_type: title|closest_relative_type|no|bd_03#inc_2016_2021|0-24|father|1||||
closest_relative_type: father|closest_relative_type|no|bd_03#inc_2016_2021|0-24|father|1|1,713 (100.0)|100||1713
__n|__n|no|bd_03#prev_2021|0-24|father|0|1,140 (100.0)|100||1140
male|male|no|bd_03#prev_2021|0-24|father|0|1,140 (100.0)|100||1140
cci_g: title|cci_g|no|bd_03#prev_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_03#prev_2021|0-24|father|0|18 (1.6)|1.57894736842105||18
cci_g: 0|cci_g|no|bd_03#prev_2021|0-24|father|0|968 (84.9)|84.9122807017543||968
cci_g: 1-2|cci_g|no|bd_03#prev_2021|0-24|father|0|154 (13.5)|13.5087719298245||154
age_index|age_index|no|bd_03#prev_2021|0-24|father|0|54.0 (50.3;57.8)|50.3328767123287|57.8438356164383|54.010958904
education_level: title|education_level|no|bd_03#prev_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_03#prev_2021|0-24|father|0|292 (25.6)|25.6140350877193||292
education_level: medium_education|education_level|no|bd_03#prev_2021|0-24|father|0|597 (52.4)|52.3684210526315||597
education_level: no_education|education_level|no|bd_03#prev_2021|0-24|father|0|34 (3.0)|2.98245614035087||34
education_level: short_education|education_level|no|bd_03#prev_2021|0-24|father|0|217 (19.0)|19.0350877192982||217
closest_relative_type: title|closest_relative_type|no|bd_03#prev_2021|0-24|father|0||||
closest_relative_type: father|closest_relative_type|no|bd_03#prev_2021|0-24|father|0|1,140 (100.0)|100||1140
__n|__n|no|bd_03#prev_2021|0-24|father|1|1,140 (100.0)|100||1140
male|male|no|bd_03#prev_2021|0-24|father|1|1,140 (100.0)|100||1140
cci_g: title|cci_g|no|bd_03#prev_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_03#prev_2021|0-24|father|1|28 (2.5)|2.45614035087719||28
cci_g: 0|cci_g|no|bd_03#prev_2021|0-24|father|1|933 (81.8)|81.8421052631579||933
cci_g: 1-2|cci_g|no|bd_03#prev_2021|0-24|father|1|179 (15.7)|15.7017543859649||179
age_index|age_index|no|bd_03#prev_2021|0-24|father|1|53.8 (49.6;57.8)|49.5657534246575|57.831506849315|53.828767123
education_level: title|education_level|no|bd_03#prev_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_03#prev_2021|0-24|father|1|338 (29.6)|29.6491228070175||338
education_level: medium_education|education_level|no|bd_03#prev_2021|0-24|father|1|552 (48.4)|48.4210526315789||552
education_level: no_education|education_level|no|bd_03#prev_2021|0-24|father|1|42 (3.7)|3.68421052631578||42
education_level: short_education|education_level|no|bd_03#prev_2021|0-24|father|1|208 (18.2)|18.2456140350877||208
closest_relative_type: title|closest_relative_type|no|bd_03#prev_2021|0-24|father|1||||
closest_relative_type: father|closest_relative_type|no|bd_03#prev_2021|0-24|father|1|1,140 (100.0)|100||1140
__n|__n|no|bd_04#inc_2016_2021|0-24|father|0|471 (100.0)|100||471
male|male|no|bd_04#inc_2016_2021|0-24|father|0|471 (100.0)|100||471
cci_g: title|cci_g|no|bd_04#inc_2016_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_04#inc_2016_2021|0-24|father|0|5 (1.1)|1.06157112526539||5
cci_g: 0|cci_g|no|bd_04#inc_2016_2021|0-24|father|0|415 (88.1)|88.1104033970276||415
cci_g: 1-2|cci_g|no|bd_04#inc_2016_2021|0-24|father|0|51 (10.8)|10.828025477707||51
age_index|age_index|no|bd_04#inc_2016_2021|0-24|father|0|46.9 (40.1;53.4)|40.139344262295|53.4438356164383|46.890059136
education_level: title|education_level|no|bd_04#inc_2016_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_04#inc_2016_2021|0-24|father|0|150 (31.8)|31.8471337579617||150
education_level: medium_education|education_level|no|bd_04#inc_2016_2021|0-24|father|0|221 (46.9)|46.9214437367303||221
education_level: no_education|education_level|no|bd_04#inc_2016_2021|0-24|father|0|15 (3.2)|3.18471337579617||15
education_level: short_education|education_level|no|bd_04#inc_2016_2021|0-24|father|0|85 (18.0)|18.0467091295116||85
closest_relative_type: title|closest_relative_type|no|bd_04#inc_2016_2021|0-24|father|0||||
closest_relative_type: father|closest_relative_type|no|bd_04#inc_2016_2021|0-24|father|0|471 (100.0)|100||471
__n|__n|no|bd_04#inc_2016_2021|0-24|father|1|471 (100.0)|100||471
male|male|no|bd_04#inc_2016_2021|0-24|father|1|471 (100.0)|100||471
cci_g: title|cci_g|no|bd_04#inc_2016_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_04#inc_2016_2021|0-24|father|1|6 (1.3)|1.27388535031847||6
cci_g: 0|cci_g|no|bd_04#inc_2016_2021|0-24|father|1|425 (90.2)|90.2335456475584||425
cci_g: 1-2|cci_g|no|bd_04#inc_2016_2021|0-24|father|1|40 (8.5)|8.49256900212314||40
age_index|age_index|no|bd_04#inc_2016_2021|0-24|father|1|47.4 (40.0;53.0)|40.0164383561643|52.965424058687|47.426229508
education_level: title|education_level|no|bd_04#inc_2016_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_04#inc_2016_2021|0-24|father|1|143 (30.4)|30.3609341825902||143
education_level: medium_education|education_level|no|bd_04#inc_2016_2021|0-24|father|1|223 (47.3)|47.3460721868365||223
education_level: no_education|education_level|no|bd_04#inc_2016_2021|0-24|father|1|12 (2.5)|2.54777070063694||12
education_level: short_education|education_level|no|bd_04#inc_2016_2021|0-24|father|1|93 (19.7)|19.7452229299363||93
closest_relative_type: title|closest_relative_type|no|bd_04#inc_2016_2021|0-24|father|1||||
closest_relative_type: father|closest_relative_type|no|bd_04#inc_2016_2021|0-24|father|1|471 (100.0)|100||471
__n|__n|no|bd_04#prev_2021|0-24|father|0|739 (100.0)|100||739
male|male|no|bd_04#prev_2021|0-24|father|0|739 (100.0)|100||739
cci_g: title|cci_g|no|bd_04#prev_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_04#prev_2021|0-24|father|0|14 (1.9)|1.89445196211096||14
cci_g: 0|cci_g|no|bd_04#prev_2021|0-24|father|0|645 (87.3)|87.2801082543978||645
cci_g: 1-2|cci_g|no|bd_04#prev_2021|0-24|father|0|80 (10.8)|10.8254397834912||80
age_index|age_index|no|bd_04#prev_2021|0-24|father|0|49.7 (44.3;54.7)|44.3360655737704|54.7123287671233|49.676712329
education_level: title|education_level|no|bd_04#prev_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_04#prev_2021|0-24|father|0|210 (28.4)|28.4167794316644||210
education_level: medium_education|education_level|no|bd_04#prev_2021|0-24|father|0|371 (50.2)|50.2029769959404||371
education_level: no_education|education_level|no|bd_04#prev_2021|0-24|father|0|19 (2.6)|2.57104194857916||19
education_level: short_education|education_level|no|bd_04#prev_2021|0-24|father|0|139 (18.8)|18.8092016238159||139
closest_relative_type: title|closest_relative_type|no|bd_04#prev_2021|0-24|father|0||||
closest_relative_type: father|closest_relative_type|no|bd_04#prev_2021|0-24|father|0|739 (100.0)|100||739
__n|__n|no|bd_04#prev_2021|0-24|father|1|739 (100.0)|100||739
male|male|no|bd_04#prev_2021|0-24|father|1|739 (100.0)|100||739
cci_g: title|cci_g|no|bd_04#prev_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_04#prev_2021|0-24|father|1|11 (1.5)|1.48849797023004||11
cci_g: 0|cci_g|no|bd_04#prev_2021|0-24|father|1|651 (88.1)|88.0920162381596||651
cci_g: 1-2|cci_g|no|bd_04#prev_2021|0-24|father|1|77 (10.4)|10.4194857916102||77
age_index|age_index|no|bd_04#prev_2021|0-24|father|1|49.6 (44.4;54.6)|44.3661202185792|54.586301369863|49.638356164
education_level: title|education_level|no|bd_04#prev_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_04#prev_2021|0-24|father|1|204 (27.6)|27.6048714479025||204
education_level: medium_education|education_level|no|bd_04#prev_2021|0-24|father|1|365 (49.4)|49.3910690121786||365
education_level: no_education|education_level|no|bd_04#prev_2021|0-24|father|1|24 (3.2)|3.24763193504736||24
