additional_relative_req|var_pop|agegroup|closest_relative_group|n_agegroup|closest_relative_group_n|has_control_closest_rel_prop
no|bd_10#prev_2021|65+|child|128|60|1
no|bd_10#prev_2021|65+|no_relative|128|31|
no|bd_10#prev_2021|65+|partner|128|37|1
no|bd_10#prev_2021|65+|pooled|128|97|1
no|bd_11#inc_2016_2021|0-24|father|6420|4919|1
no|bd_11#inc_2016_2021|0-24|mother|6420|5113|1
no|bd_11#inc_2016_2021|0-24|no_relative|6420|843|
no|bd_11#inc_2016_2021|25-64|child|7007|1069|0.99
no|bd_11#inc_2016_2021|25-64|no_relative|7007|423|
no|bd_11#inc_2016_2021|25-64|parent|7007|1042|0.99
no|bd_11#inc_2016_2021|25-64|partner|7007|3407|0.99
no|bd_11#inc_2016_2021|25-64|pooled|7007|6584|0.99
no|bd_11#inc_2016_2021|25-64|sibling|7007|1066|0.97
no|bd_11#inc_2016_2021|65+|child|8357|3147|1
no|bd_11#inc_2016_2021|65+|no_relative|8357|1097|
no|bd_11#inc_2016_2021|65+|partner|8357|4113|0.99
no|bd_11#inc_2016_2021|65+|pooled|8357|7260|0.99
no|bd_11#prev_2021|0-24|father|16102|13765|1
no|bd_11#prev_2021|0-24|mother|16102|14300|1
no|bd_11#prev_2021|0-24|no_relative|16102|679|
no|bd_11#prev_2021|25-64|child|34324|3901|0.99
no|bd_11#prev_2021|25-64|no_relative|34324|958|
no|bd_11#prev_2021|25-64|parent|34324|7923|0.99
no|bd_11#prev_2021|25-64|partner|34324|15519|0.99
no|bd_11#prev_2021|25-64|pooled|34324|33366|0.98
no|bd_11#prev_2021|25-64|sibling|34324|6023|0.95
no|bd_11#prev_2021|65+|child|17254|6104|1
no|bd_11#prev_2021|65+|no_relative|17254|2623|
no|bd_11#prev_2021|65+|partner|17254|8527|0.99
no|bd_11#prev_2021|65+|pooled|17254|14631|0.99
no|bd_12#inc_2016_2021|0-24|father|30324|24075|1
no|bd_12#inc_2016_2021|0-24|mother|30324|19926|1
no|bd_12#inc_2016_2021|0-24|no_relative|30324|2852|
no|bd_12#inc_2016_2021|25-64|child|72494|11011|0.99
no|bd_12#inc_2016_2021|25-64|no_relative|72494|2413|
no|bd_12#inc_2016_2021|25-64|parent|72494|10366|0.99
no|bd_12#inc_2016_2021|25-64|partner|72494|42432|0.99
no|bd_12#inc_2016_2021|25-64|pooled|72494|70081|0.99
no|bd_12#inc_2016_2021|25-64|sibling|72494|6272|0.98
no|bd_12#inc_2016_2021|65+|child|7395|2678|1
no|bd_12#inc_2016_2021|65+|no_relative|7395|745|
no|bd_12#inc_2016_2021|65+|partner|7395|3972|0.99
no|bd_12#inc_2016_2021|65+|pooled|7395|6650|0.99
no|bd_12#prev_2021|0-24|father|34797|27689|1
no|bd_12#prev_2021|0-24|mother|34797|22382|1
no|bd_12#prev_2021|0-24|no_relative|34797|3059|
no|bd_12#prev_2021|25-64|child|302175|51068|0.99
no|bd_12#prev_2021|25-64|no_relative|302175|5355|
no|bd_12#prev_2021|25-64|parent|302175|38605|0.99
no|bd_12#prev_2021|25-64|partner|302175|181066|0.99
no|bd_12#prev_2021|25-64|pooled|302175|296820|0.99
no|bd_12#prev_2021|25-64|sibling|302175|26081|0.98
no|bd_12#prev_2021|65+|child|94824|32589|1
no|bd_12#prev_2021|65+|no_relative|94824|10477|
no|bd_12#prev_2021|65+|partner|94824|51758|0.99
no|bd_12#prev_2021|65+|pooled|94824|84347|0.99
no|bd_13#inc_2016_2021|0-24|father|1817|1147|1
no|bd_13#inc_2016_2021|0-24|mother|1817|1241|1
no|bd_13#inc_2016_2021|0-24|no_relative|1817|512|
no|bd_13#inc_2016_2021|25-64|child|3353|458|1
no|bd_13#inc_2016_2021|25-64|no_relative|3353|118|
no|bd_13#inc_2016_2021|25-64|parent|3353|454|0.99
no|bd_13#inc_2016_2021|25-64|partner|3353|1961|0.99
no|bd_13#inc_2016_2021|25-64|pooled|3353|3235|0.98
no|bd_13#inc_2016_2021|25-64|sibling|3353|362|0.95
no|bd_13#inc_2016_2021|65+|child|2092|861|1
no|bd_13#inc_2016_2021|65+|no_relative|2092|237|
no|bd_13#inc_2016_2021|65+|partner|2092|994|0.99
no|bd_13#inc_2016_2021|65+|pooled|2092|1855|0.99
no|bd_13#prev_2021|0-24|father|4871|4194|1
no|bd_13#prev_2021|0-24|mother|4871|4420|1
no|bd_13#prev_2021|0-24|no_relative|4871|172|
no|bd_13#prev_2021|25-64|child|9295|1204|0.99
no|bd_13#prev_2021|25-64|no_relative|9295|148|
no|bd_13#prev_2021|25-64|parent|9295|1400|0.99
no|bd_13#prev_2021|25-64|partner|9295|5604|0.99
no|bd_13#prev_2021|25-64|pooled|9295|9147|0.98
no|bd_13#prev_2021|25-64|sibling|9295|939|0.94
no|bd_13#prev_2021|65+|child|3825|1290|1
no|bd_13#prev_2021|65+|no_relative|3825|380|
no|bd_13#prev_2021|65+|partner|3825|2155|0.99
no|bd_13#prev_2021|65+|pooled|3825|3445|0.99
no|bd_14#inc_2016_2021|0-24|father|5074|4174|1
no|bd_14#inc_2016_2021|0-24|mother|5074|4411|1
no|bd_14#inc_2016_2021|0-24|no_relative|5074|357|
no|bd_14#inc_2016_2021|25-64|child|2140|97|0.98
no|bd_14#inc_2016_2021|25-64|no_relative|2140|152|
no|bd_14#inc_2016_2021|25-64|parent|2140|886|1
no|bd_14#inc_2016_2021|25-64|partner|2140|320|1
no|bd_14#inc_2016_2021|25-64|pooled|2140|1988|0.97
no|bd_14#inc_2016_2021|25-64|sibling|2140|685|0.93
no|bd_14#inc_2016_2021|65+|child|378|35|1
no|bd_14#inc_2016_2021|65+|no_relative|378|311|
no|bd_14#inc_2016_2021|65+|partner|378|32|1
no|bd_14#inc_2016_2021|65+|pooled|378|67|1
no|bd_14#prev_2021|0-24|father|13152|11137|1
no|bd_14#prev_2021|0-24|mother|13152|11984|1
no|bd_14#prev_2021|0-24|no_relative|13152|444|
no|bd_14#prev_2021|25-64|child|15195|547|0.99
no|bd_14#prev_2021|25-64|no_relative|15195|757|
no|bd_14#prev_2021|25-64|parent|15195|6622|0.99
no|bd_14#prev_2021|25-64|partner|15195|2100|0.99
no|bd_14#prev_2021|25-64|pooled|15195|14438|0.97
no|bd_14#prev_2021|25-64|sibling|15195|5169|0.94
no|bd_14#prev_2021|65+|child|1866|194|1
no|bd_14#prev_2021|65+|no_relative|1866|1575|
no|bd_14#prev_2021|65+|partner|1866|97|1
no|bd_14#prev_2021|65+|pooled|1866|291|1
no|bd_15#inc_2016_2021|0-24|father|471|393|1
no|bd_15#inc_2016_2021|0-24|mother|471|405|1
no|bd_15#inc_2016_2021|0-24|no_relative|471|37|
no|bd_15#inc_2016_2021|25-64|child|3500|354|1
no|bd_15#inc_2016_2021|25-64|no_relative|3500|106|
no|bd_15#inc_2016_2021|25-64|parent|3500|509|0.99
no|bd_15#inc_2016_2021|25-64|partner|3500|2223|0.99
no|bd_15#inc_2016_2021|25-64|pooled|3500|3394|0.98
no|bd_15#inc_2016_2021|25-64|sibling|3500|308|0.91
no|bd_15#inc_2016_2021|65+|child|367|114|1
no|bd_15#inc_2016_2021|65+|no_relative|367|36|
no|bd_15#inc_2016_2021|65+|partner|367|217|0.99
no|bd_15#inc_2016_2021|65+|pooled|367|331|0.99
no|bd_15#prev_2021|0-24|father|267|227|1
no|bd_15#prev_2021|0-24|mother|267|238|1
no|bd_15#prev_2021|0-24|no_relative|267|14|
no|bd_15#prev_2021|25-64|child|12259|1595|1
no|bd_15#prev_2021|25-64|no_relative|12259|224|
no|bd_15#prev_2021|25-64|parent|12259|1669|0.99
no|bd_15#prev_2021|25-64|partner|12259|7559|0.99
no|bd_15#prev_2021|25-64|pooled|12259|12035|0.99
no|bd_15#prev_2021|25-64|sibling|12259|1212|0.96
no|bd_15#prev_2021|65+|child|3784|1213|1
no|bd_15#prev_2021|65+|no_relative|3784|404|
no|bd_15#prev_2021|65+|partner|3784|2167|0.99
no|bd_15#prev_2021|65+|pooled|3784|3380|0.99
no|bd_16#inc_2016_2021|0-24|father|518|384|1
no|bd_16#inc_2016_2021|0-24|mother|518|406|1
no|bd_16#inc_2016_2021|0-24|no_relative|518|58|
no|bd_16#inc_2016_2021|25-64|child|1544|190|1
no|bd_16#inc_2016_2021|25-64|no_relative|1544|47|
no|bd_16#inc_2016_2021|25-64|parent|1544|203|1
no|bd_16#inc_2016_2021|25-64|partner|1544|942|0.99
no|bd_16#inc_2016_2021|25-64|pooled|1544|1497|0.99
no|bd_16#inc_2016_2021|25-64|sibling|1544|162|0.93
no|bd_16#inc_2016_2021|65+|child|1106|355|1
no|bd_16#inc_2016_2021|65+|no_relative|1106|110|
no|bd_16#inc_2016_2021|65+|partner|1106|641|0.99
no|bd_16#inc_2016_2021|65+|pooled|1106|996|0.99
no|bd_16#prev_2021|0-24|father|1183|970|1
no|bd_16#prev_2021|0-24|mother|1183|985|1
no|bd_16#prev_2021|0-24|no_relative|1183|47|
no|bd_16#prev_2021|25-64|child|4378|517|1
no|bd_16#prev_2021|25-64|no_relative|4378|125|
no|bd_16#prev_2021|25-64|parent|4378|779|0.99
no|bd_16#prev_2021|25-64|partner|4378|2414|0.99
no|bd_16#prev_2021|25-64|pooled|4378|4253|0.99
no|bd_16#prev_2021|25-64|sibling|4378|543|0.94
no|bd_16#prev_2021|65+|child|2637|854|1
no|bd_16#prev_2021|65+|no_relative|2637|259|
no|bd_16#prev_2021|65+|partner|2637|1524|0.99
no|bd_16#prev_2021|65+|pooled|2637|2378|0.99
no|bd_17#inc_2016_2021|0-24|father|152|109|1
no|bd_17#inc_2016_2021|0-24|mother|152|114|1
no|bd_17#inc_2016_2021|0-24|no_relative|152|23|
no|bd_17#inc_2016_2021|25-64|child|978|155|1
no|bd_17#inc_2016_2021|25-64|no_relative|978|46|
no|bd_17#inc_2016_2021|25-64|parent|978|88|0.98
no|bd_17#inc_2016_2021|25-64|partner|978|568|0.99
no|bd_17#inc_2016_2021|25-64|pooled|978|932|0.99
no|bd_17#inc_2016_2021|25-64|sibling|978|121|0.97
no|bd_17#inc_2016_2021|65+|child|1490|535|1
no|bd_17#inc_2016_2021|65+|no_relative|1490|143|
no|bd_17#inc_2016_2021|65+|partner|1490|812|0.99
no|bd_17#inc_2016_2021|65+|pooled|1490|1347|0.99
no|bd_17#prev_2021|0-24|father|368|314|1
no|bd_17#prev_2021|0-24|mother|368|324|1
no|bd_17#prev_2021|0-24|no_relative|368|8|
no|bd_17#prev_2021|25-64|child|1711|280|1
no|bd_17#prev_2021|25-64|no_relative|1711|67|
no|bd_17#prev_2021|25-64|parent|1711|315|1
no|bd_17#prev_2021|25-64|partner|1711|799|0.99
no|bd_17#prev_2021|25-64|pooled|1711|1644|0.99
no|bd_17#prev_2021|25-64|sibling|1711|250|0.96
no|bd_17#prev_2021|65+|child|1802|619|1
no|bd_17#prev_2021|65+|no_relative|1802|211|
