__label|__var|same_education_req|var_pop|agegroup|closest_relative_type|case_relative|__stat_char|__stat_num2|__stat_num3|__stat_num1
education_level: no_education|education_level|no|bd_00#prev_2021|0-24|father|0|4,281 (3.3)|3.26452488618772||4281
education_level: short_education|education_level|no|bd_00#prev_2021|0-24|father|0|19,707 (15.0)|15.0277953590519||19707
__n|__n|no|bd_00#prev_2021|0-24|father|1|131,137 (100.0)|100||131137
male|male|no|bd_00#prev_2021|0-24|father|1|131,137 (100.0)|100||131137
cci_g: title|cci_g|no|bd_00#prev_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_00#prev_2021|0-24|father|1|1,133 (0.9)|0.86398194254863||1133
cci_g: 0|cci_g|no|bd_00#prev_2021|0-24|father|1|118,836 (90.6)|90.6197335610849||118836
cci_g: 1-2|cci_g|no|bd_00#prev_2021|0-24|father|1|11,168 (8.5)|8.51628449636639||11168
age_index|age_index|no|bd_00#prev_2021|0-24|father|1|50.0 (44.9;54.8)|44.9453551912568|54.7780821917808|50.024657534
education_level: title|education_level|no|bd_00#prev_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_00#prev_2021|0-24|father|1|38,155 (29.1)|29.0955260529065||38155
education_level: medium_education|education_level|no|bd_00#prev_2021|0-24|father|1|67,634 (51.6)|51.575070346279||67634
education_level: no_education|education_level|no|bd_00#prev_2021|0-24|father|1|3,030 (2.3)|2.31056071131717||3030
education_level: short_education|education_level|no|bd_00#prev_2021|0-24|father|1|22,318 (17.0)|17.0188428894972||22318
__n|__n|no|bd_01#inc_2016_2021|0-24|father|0|2,264 (100.0)|100||2264
male|male|no|bd_01#inc_2016_2021|0-24|father|0|2,264 (100.0)|100||2264
cci_g: title|cci_g|no|bd_01#inc_2016_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_01#inc_2016_2021|0-24|father|0|36 (1.6)|1.59010600706713||36
cci_g: 0|cci_g|no|bd_01#inc_2016_2021|0-24|father|0|1,950 (86.1)|86.1307420494699||1950
cci_g: 1-2|cci_g|no|bd_01#inc_2016_2021|0-24|father|0|278 (12.3)|12.2791519434629||278
age_index|age_index|no|bd_01#inc_2016_2021|0-24|father|0|52.8 (49.2;56.9)|49.2261546522943|56.8604760835391|52.77663373
education_level: title|education_level|no|bd_01#inc_2016_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_01#inc_2016_2021|0-24|father|0|594 (26.2)|26.2367491166077||594
education_level: medium_education|education_level|no|bd_01#inc_2016_2021|0-24|father|0|1,197 (52.9)|52.8710247349823||1197
education_level: no_education|education_level|no|bd_01#inc_2016_2021|0-24|father|0|53 (2.3)|2.34098939929328||53
education_level: short_education|education_level|no|bd_01#inc_2016_2021|0-24|father|0|420 (18.6)|18.5512367491166||420
__n|__n|no|bd_01#inc_2016_2021|0-24|father|1|2,264 (100.0)|100||2264
male|male|no|bd_01#inc_2016_2021|0-24|father|1|2,264 (100.0)|100||2264
cci_g: title|cci_g|no|bd_01#inc_2016_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_01#inc_2016_2021|0-24|father|1|49 (2.2)|2.1643109540636||49
cci_g: 0|cci_g|no|bd_01#inc_2016_2021|0-24|father|1|1,893 (83.6)|83.613074204947||1893
cci_g: 1-2|cci_g|no|bd_01#inc_2016_2021|0-24|father|1|322 (14.2)|14.2226148409894||322
age_index|age_index|no|bd_01#inc_2016_2021|0-24|father|1|52.5 (48.4;56.5)|48.4199715547571|56.4553334830451|52.514593158
education_level: title|education_level|no|bd_01#inc_2016_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_01#inc_2016_2021|0-24|father|1|450 (19.9)|19.8763250883392||450
education_level: medium_education|education_level|no|bd_01#inc_2016_2021|0-24|father|1|1,128 (49.8)|49.8233215547703||1128
education_level: no_education|education_level|no|bd_01#inc_2016_2021|0-24|father|1|69 (3.0)|3.04770318021201||69
education_level: short_education|education_level|no|bd_01#inc_2016_2021|0-24|father|1|617 (27.3)|27.2526501766784||617
__n|__n|no|bd_01#prev_2021|0-24|father|0|1,527 (100.0)|100||1527
male|male|no|bd_01#prev_2021|0-24|father|0|1,527 (100.0)|100||1527
cci_g: title|cci_g|no|bd_01#prev_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_01#prev_2021|0-24|father|0|34 (2.2)|2.22658808120497||34
cci_g: 0|cci_g|no|bd_01#prev_2021|0-24|father|0|1,300 (85.1)|85.1342501637197||1300
cci_g: 1-2|cci_g|no|bd_01#prev_2021|0-24|father|0|193 (12.6)|12.6391617550753||193
age_index|age_index|no|bd_01#prev_2021|0-24|father|0|54.5 (50.3;58.4)|50.2849315068493|58.4027397260274|54.493150685
education_level: title|education_level|no|bd_01#prev_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_01#prev_2021|0-24|father|0|371 (24.3)|24.2960052390307||371
education_level: medium_education|education_level|no|bd_01#prev_2021|0-24|father|0|836 (54.7)|54.7478716437459||836
education_level: no_education|education_level|no|bd_01#prev_2021|0-24|father|0|44 (2.9)|2.8814669286182||44
education_level: short_education|education_level|no|bd_01#prev_2021|0-24|father|0|276 (18.1)|18.0746561886051||276
__n|__n|no|bd_01#prev_2021|0-24|father|1|1,527 (100.0)|100||1527
male|male|no|bd_01#prev_2021|0-24|father|1|1,527 (100.0)|100||1527
cci_g: title|cci_g|no|bd_01#prev_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_01#prev_2021|0-24|father|1|42 (2.8)|2.75049115913556||42
cci_g: 0|cci_g|no|bd_01#prev_2021|0-24|father|1|1,242 (81.3)|81.3359528487229||1242
cci_g: 1-2|cci_g|no|bd_01#prev_2021|0-24|father|1|243 (15.9)|15.9135559921414||243
age_index|age_index|no|bd_01#prev_2021|0-24|father|1|53.6 (49.4;57.5)|49.3616438356164|57.5479452054794|53.602739726
education_level: title|education_level|no|bd_01#prev_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_01#prev_2021|0-24|father|1|300 (19.6)|19.6463654223968||300
education_level: medium_education|education_level|no|bd_01#prev_2021|0-24|father|1|753 (49.3)|49.3123772102161||753
education_level: no_education|education_level|no|bd_01#prev_2021|0-24|father|1|41 (2.7)|2.68500327439423||41
education_level: short_education|education_level|no|bd_01#prev_2021|0-24|father|1|433 (28.4)|28.3562540929928||433
__n|__n|no|bd_02#inc_2016_2021|0-24|father|0|24,599 (100.0)|100||24599
male|male|no|bd_02#inc_2016_2021|0-24|father|0|24,599 (100.0)|100||24599
cci_g: title|cci_g|no|bd_02#inc_2016_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_02#inc_2016_2021|0-24|father|0|388 (1.6)|1.57729989023944||388
cci_g: 0|cci_g|no|bd_02#inc_2016_2021|0-24|father|0|21,408 (87.0)|87.0279279645514||21408
cci_g: 1-2|cci_g|no|bd_02#inc_2016_2021|0-24|father|0|2,803 (11.4)|11.3947721452091||2803
age_index|age_index|no|bd_02#inc_2016_2021|0-24|father|0|51.2 (46.9;55.3)|46.8575342465753|55.3384834194176|51.15890411
education_level: title|education_level|no|bd_02#inc_2016_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_02#inc_2016_2021|0-24|father|0|6,615 (26.9)|26.8913370462213||6615
education_level: medium_education|education_level|no|bd_02#inc_2016_2021|0-24|father|0|12,680 (51.5)|51.5468108459693||12680
education_level: no_education|education_level|no|bd_02#inc_2016_2021|0-24|father|0|690 (2.8)|2.80499207284849||690
education_level: short_education|education_level|no|bd_02#inc_2016_2021|0-24|father|0|4,614 (18.8)|18.7568600349607||4614
__n|__n|no|bd_02#inc_2016_2021|0-24|father|1|24,599 (100.0)|100||24599
male|male|no|bd_02#inc_2016_2021|0-24|father|1|24,599 (100.0)|100||24599
cci_g: title|cci_g|no|bd_02#inc_2016_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_02#inc_2016_2021|0-24|father|1|439 (1.8)|1.78462539127606||439
cci_g: 0|cci_g|no|bd_02#inc_2016_2021|0-24|father|1|21,159 (86.0)|86.0156916947843||21159
cci_g: 1-2|cci_g|no|bd_02#inc_2016_2021|0-24|father|1|3,001 (12.2)|12.1996829139395||3001
age_index|age_index|no|bd_02#inc_2016_2021|0-24|father|1|51.1 (46.8;55.5)|46.7780821917808|55.4547945205479|51.133879781
education_level: title|education_level|no|bd_02#inc_2016_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_02#inc_2016_2021|0-24|father|1|6,361 (25.9)|25.8587747469409||6361
education_level: medium_education|education_level|no|bd_02#inc_2016_2021|0-24|father|1|12,586 (51.2)|51.1646814911175||12586
education_level: no_education|education_level|no|bd_02#inc_2016_2021|0-24|father|1|586 (2.4)|2.38221065896987||586
education_level: short_education|education_level|no|bd_02#inc_2016_2021|0-24|father|1|5,066 (20.6)|20.5943331029716||5066
__n|__n|no|bd_02#prev_2021|0-24|father|0|23,186 (100.0)|100||23186
male|male|no|bd_02#prev_2021|0-24|father|0|23,186 (100.0)|100||23186
cci_g: title|cci_g|no|bd_02#prev_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_02#prev_2021|0-24|father|0|428 (1.8)|1.84594151643233||428
cci_g: 0|cci_g|no|bd_02#prev_2021|0-24|father|0|19,977 (86.2)|86.1597515742258||19977
cci_g: 1-2|cci_g|no|bd_02#prev_2021|0-24|father|0|2,781 (12.0)|11.9943069093418||2781
age_index|age_index|no|bd_02#prev_2021|0-24|father|0|52.7 (48.6;56.7)|48.5983606557377|56.6502732240437|52.691256831
education_level: title|education_level|no|bd_02#prev_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_02#prev_2021|0-24|father|0|6,249 (27.0)|26.9516087294056||6249
education_level: medium_education|education_level|no|bd_02#prev_2021|0-24|father|0|12,014 (51.8)|51.8157508841542||12014
education_level: no_education|education_level|no|bd_02#prev_2021|0-24|father|0|683 (2.9)|2.94574312084878||683
education_level: short_education|education_level|no|bd_02#prev_2021|0-24|father|0|4,240 (18.3)|18.2868972655913||4240
__n|__n|no|bd_02#prev_2021|0-24|father|1|23,186 (100.0)|100||23186
male|male|no|bd_02#prev_2021|0-24|father|1|23,186 (100.0)|100||23186
cci_g: title|cci_g|no|bd_02#prev_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_02#prev_2021|0-24|father|1|483 (2.1)|2.08315362718882||483
cci_g: 0|cci_g|no|bd_02#prev_2021|0-24|father|1|19,631 (84.7)|84.667471750194||19631
cci_g: 1-2|cci_g|no|bd_02#prev_2021|0-24|father|1|3,072 (13.2)|13.2493746226171||3072
age_index|age_index|no|bd_02#prev_2021|0-24|father|1|52.8 (48.6;56.8)|48.5683060109289|56.8087431693989|52.767759563
education_level: title|education_level|no|bd_02#prev_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_02#prev_2021|0-24|father|1|6,169 (26.6)|26.6065729319416||6169
education_level: medium_education|education_level|no|bd_02#prev_2021|0-24|father|1|12,009 (51.8)|51.7941861468127||12009
education_level: no_education|education_level|no|bd_02#prev_2021|0-24|father|1|430 (1.9)|1.85456741136893||430
education_level: short_education|education_level|no|bd_02#prev_2021|0-24|father|1|4,578 (19.7)|19.7446735098766||4578
__n|__n|no|bd_03#inc_2016_2021|0-24|father|0|1,713 (100.0)|100||1713
male|male|no|bd_03#inc_2016_2021|0-24|father|0|1,713 (100.0)|100||1713
cci_g: title|cci_g|no|bd_03#inc_2016_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_03#inc_2016_2021|0-24|father|0|40 (2.3)|2.33508464681844||40
cci_g: 0|cci_g|no|bd_03#inc_2016_2021|0-24|father|0|1,451 (84.7)|84.7051955633391||1451
cci_g: 1-2|cci_g|no|bd_03#inc_2016_2021|0-24|father|0|222 (13.0)|12.9597197898423||222
age_index|age_index|no|bd_03#inc_2016_2021|0-24|father|0|52.8 (49.2;56.7)|49.196272176061|56.7150684931506|52.797260274
education_level: title|education_level|no|bd_03#inc_2016_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_03#inc_2016_2021|0-24|father|0|433 (25.3)|25.2772913018096||433
education_level: medium_education|education_level|no|bd_03#inc_2016_2021|0-24|father|0|912 (53.2)|53.2399299474606||912
education_level: no_education|education_level|no|bd_03#inc_2016_2021|0-24|father|0|46 (2.7)|2.68534734384121||46
education_level: short_education|education_level|no|bd_03#inc_2016_2021|0-24|father|0|322 (18.8)|18.7974314068885||322
__n|__n|no|bd_03#inc_2016_2021|0-24|father|1|1,713 (100.0)|100||1713
male|male|no|bd_03#inc_2016_2021|0-24|father|1|1,713 (100.0)|100||1713
cci_g: title|cci_g|no|bd_03#inc_2016_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_03#inc_2016_2021|0-24|father|1|39 (2.3)|2.27670753064798||39
cci_g: 0|cci_g|no|bd_03#inc_2016_2021|0-24|father|1|1,436 (83.8)|83.8295388207822||1436
cci_g: 1-2|cci_g|no|bd_03#inc_2016_2021|0-24|father|1|238 (13.9)|13.8937536485697||238
age_index|age_index|no|bd_03#inc_2016_2021|0-24|father|1|52.7 (48.7;56.7)|48.7386031888614|56.6876712328767|52.747945205
education_level: title|education_level|no|bd_03#inc_2016_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_03#inc_2016_2021|0-24|father|1|488 (28.5)|28.488032691185||488
education_level: medium_education|education_level|no|bd_03#inc_2016_2021|0-24|father|1|857 (50.0)|50.0291885580852||857
education_level: no_education|education_level|no|bd_03#inc_2016_2021|0-24|father|1|57 (3.3)|3.32749562171628||57
education_level: short_education|education_level|no|bd_03#inc_2016_2021|0-24|father|1|311 (18.2)|18.1552831290134||311
__n|__n|no|bd_03#prev_2021|0-24|father|0|1,140 (100.0)|100||1140
male|male|no|bd_03#prev_2021|0-24|father|0|1,140 (100.0)|100||1140
cci_g: title|cci_g|no|bd_03#prev_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_03#prev_2021|0-24|father|0|26 (2.3)|2.28070175438596||26
cci_g: 0|cci_g|no|bd_03#prev_2021|0-24|father|0|969 (85.0)|85||969
cci_g: 1-2|cci_g|no|bd_03#prev_2021|0-24|father|0|145 (12.7)|12.719298245614||145
age_index|age_index|no|bd_03#prev_2021|0-24|father|0|53.9 (50.2;57.7)|50.1561643835616|57.6849315068493|53.932876712
education_level: title|education_level|no|bd_03#prev_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_03#prev_2021|0-24|father|0|299 (26.2)|26.2280701754386||299
education_level: medium_education|education_level|no|bd_03#prev_2021|0-24|father|0|588 (51.6)|51.578947368421||588
education_level: no_education|education_level|no|bd_03#prev_2021|0-24|father|0|29 (2.5)|2.5438596491228||29
education_level: short_education|education_level|no|bd_03#prev_2021|0-24|father|0|224 (19.6)|19.6491228070175||224
__n|__n|no|bd_03#prev_2021|0-24|father|1|1,140 (100.0)|100||1140
male|male|no|bd_03#prev_2021|0-24|father|1|1,140 (100.0)|100||1140
cci_g: title|cci_g|no|bd_03#prev_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_03#prev_2021|0-24|father|1|28 (2.5)|2.45614035087719||28
cci_g: 0|cci_g|no|bd_03#prev_2021|0-24|father|1|933 (81.8)|81.8421052631579||933
cci_g: 1-2|cci_g|no|bd_03#prev_2021|0-24|father|1|179 (15.7)|15.7017543859649||179
age_index|age_index|no|bd_03#prev_2021|0-24|father|1|53.8 (49.6;57.8)|49.5657534246575|57.831506849315|53.828767123
education_level: title|education_level|no|bd_03#prev_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_03#prev_2021|0-24|father|1|338 (29.6)|29.6491228070175||338
education_level: medium_education|education_level|no|bd_03#prev_2021|0-24|father|1|552 (48.4)|48.4210526315789||552
education_level: no_education|education_level|no|bd_03#prev_2021|0-24|father|1|42 (3.7)|3.68421052631578||42
education_level: short_education|education_level|no|bd_03#prev_2021|0-24|father|1|208 (18.2)|18.2456140350877||208
__n|__n|no|bd_04#inc_2016_2021|0-24|father|0|471 (100.0)|100||471
male|male|no|bd_04#inc_2016_2021|0-24|father|0|471 (100.0)|100||471
cci_g: title|cci_g|no|bd_04#inc_2016_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_04#inc_2016_2021|0-24|father|0|5 (1.1)|1.06157112526539||5
cci_g: 0|cci_g|no|bd_04#inc_2016_2021|0-24|father|0|423 (89.8)|89.8089171974522||423
cci_g: 1-2|cci_g|no|bd_04#inc_2016_2021|0-24|father|0|43 (9.1)|9.12951167728237||43
age_index|age_index|no|bd_04#inc_2016_2021|0-24|father|0|47.6 (40.6;53.3)|40.6164383561643|53.3221498615165|47.569863014
education_level: title|education_level|no|bd_04#inc_2016_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_04#inc_2016_2021|0-24|father|0|135 (28.7)|28.6624203821656||135
education_level: medium_education|education_level|no|bd_04#inc_2016_2021|0-24|father|0|232 (49.3)|49.2569002123142||232
education_level: no_education|education_level|no|bd_04#inc_2016_2021|0-24|father|0|14 (3.0)|2.9723991507431||14
education_level: short_education|education_level|no|bd_04#inc_2016_2021|0-24|father|0|90 (19.1)|19.108280254777||90
__n|__n|no|bd_04#inc_2016_2021|0-24|father|1|471 (100.0)|100||471
male|male|no|bd_04#inc_2016_2021|0-24|father|1|471 (100.0)|100||471
cci_g: title|cci_g|no|bd_04#inc_2016_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_04#inc_2016_2021|0-24|father|1|6 (1.3)|1.27388535031847||6
cci_g: 0|cci_g|no|bd_04#inc_2016_2021|0-24|father|1|425 (90.2)|90.2335456475584||425
cci_g: 1-2|cci_g|no|bd_04#inc_2016_2021|0-24|father|1|40 (8.5)|8.49256900212314||40
age_index|age_index|no|bd_04#inc_2016_2021|0-24|father|1|47.4 (40.0;53.0)|40.0164383561643|52.965424058687|47.426229508
education_level: title|education_level|no|bd_04#inc_2016_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_04#inc_2016_2021|0-24|father|1|143 (30.4)|30.3609341825902||143
education_level: medium_education|education_level|no|bd_04#inc_2016_2021|0-24|father|1|223 (47.3)|47.3460721868365||223
education_level: no_education|education_level|no|bd_04#inc_2016_2021|0-24|father|1|12 (2.5)|2.54777070063694||12
education_level: short_education|education_level|no|bd_04#inc_2016_2021|0-24|father|1|93 (19.7)|19.7452229299363||93
__n|__n|no|bd_04#prev_2021|0-24|father|0|739 (100.0)|100||739
male|male|no|bd_04#prev_2021|0-24|father|0|739 (100.0)|100||739
cci_g: title|cci_g|no|bd_04#prev_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_04#prev_2021|0-24|father|0|12 (1.6)|1.62381596752368||12
cci_g: 0|cci_g|no|bd_04#prev_2021|0-24|father|0|661 (89.4)|89.445196211096||661
cci_g: 1-2|cci_g|no|bd_04#prev_2021|0-24|father|0|66 (8.9)|8.93098782138024||66
age_index|age_index|no|bd_04#prev_2021|0-24|father|0|49.7 (44.2;54.9)|44.1994535519125|54.8657534246575|49.682191781
education_level: title|education_level|no|bd_04#prev_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_04#prev_2021|0-24|father|0|230 (31.1)|31.1231393775372||230
education_level: medium_education|education_level|no|bd_04#prev_2021|0-24|father|0|353 (47.8)|47.7672530446549||353
education_level: no_education|education_level|no|bd_04#prev_2021|0-24|father|0|13 (1.8)|1.75913396481732||13
education_level: short_education|education_level|no|bd_04#prev_2021|0-24|father|0|143 (19.4)|19.3504736129905||143
__n|__n|no|bd_04#prev_2021|0-24|father|1|739 (100.0)|100||739
male|male|no|bd_04#prev_2021|0-24|father|1|739 (100.0)|100||739
cci_g: title|cci_g|no|bd_04#prev_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_04#prev_2021|0-24|father|1|11 (1.5)|1.48849797023004||11
cci_g: 0|cci_g|no|bd_04#prev_2021|0-24|father|1|651 (88.1)|88.0920162381596||651
cci_g: 1-2|cci_g|no|bd_04#prev_2021|0-24|father|1|77 (10.4)|10.4194857916102||77
age_index|age_index|no|bd_04#prev_2021|0-24|father|1|49.6 (44.4;54.6)|44.3661202185792|54.586301369863|49.638356164
education_level: title|education_level|no|bd_04#prev_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_04#prev_2021|0-24|father|1|204 (27.6)|27.6048714479025||204
education_level: medium_education|education_level|no|bd_04#prev_2021|0-24|father|1|365 (49.4)|49.3910690121786||365
education_level: no_education|education_level|no|bd_04#prev_2021|0-24|father|1|24 (3.2)|3.24763193504736||24
education_level: short_education|education_level|no|bd_04#prev_2021|0-24|father|1|146 (19.8)|19.7564276048714||146
__n|__n|no|bd_05#inc_2016_2021|0-24|father|0|873 (100.0)|100||873
male|male|no|bd_05#inc_2016_2021|0-24|father|0|873 (100.0)|100||873
cci_g: title|cci_g|no|bd_05#inc_2016_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_05#inc_2016_2021|0-24|father|0|*|M|M|M
cci_g: 0|cci_g|no|bd_05#inc_2016_2021|0-24|father|0|823 (94.3)|94.2726231386025||823
cci_g: 1-2|cci_g|no|bd_05#inc_2016_2021|0-24|father|0|*|M|M|M
age_index|age_index|no|bd_05#inc_2016_2021|0-24|father|0|37.7 (32.5;44.3)|32.4986301369863|44.2984280260498|37.709589041
education_level: title|education_level|no|bd_05#inc_2016_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_05#inc_2016_2021|0-24|father|0|328 (37.6)|37.5715922107674||328
education_level: medium_education|education_level|no|bd_05#inc_2016_2021|0-24|father|0|370 (42.4)|42.3825887743413||370
education_level: no_education|education_level|no|bd_05#inc_2016_2021|0-24|father|0|34 (3.9)|3.89461626575028||34
education_level: short_education|education_level|no|bd_05#inc_2016_2021|0-24|father|0|141 (16.2)|16.1512027491408||141
__n|__n|no|bd_05#inc_2016_2021|0-24|father|1|873 (100.0)|100||873
male|male|no|bd_05#inc_2016_2021|0-24|father|1|873 (100.0)|100||873
cci_g: title|cci_g|no|bd_05#inc_2016_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_05#inc_2016_2021|0-24|father|1|5 (0.6)|0.57273768613974||5
cci_g: 0|cci_g|no|bd_05#inc_2016_2021|0-24|father|1|814 (93.2)|93.2416953035509||814
cci_g: 1-2|cci_g|no|bd_05#inc_2016_2021|0-24|father|1|54 (6.2)|6.18556701030928||54
age_index|age_index|no|bd_05#inc_2016_2021|0-24|father|1|37.1 (32.3;43.9)|32.2841530054644|43.9369863013698|37.105898645
education_level: title|education_level|no|bd_05#inc_2016_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_05#inc_2016_2021|0-24|father|1|243 (27.8)|27.8350515463917||243
education_level: medium_education|education_level|no|bd_05#inc_2016_2021|0-24|father|1|383 (43.9)|43.8717067583047||383
education_level: no_education|education_level|no|bd_05#inc_2016_2021|0-24|father|1|44 (5.0)|5.04009163802978||44
education_level: short_education|education_level|no|bd_05#inc_2016_2021|0-24|father|1|203 (23.3)|23.2531500572737||203
__n|__n|no|bd_05#prev_2021|0-24|father|0|4,061 (100.0)|100||4061
male|male|no|bd_05#prev_2021|0-24|father|0|4,061 (100.0)|100||4061
cci_g: title|cci_g|no|bd_05#prev_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_05#prev_2021|0-24|father|0|50 (1.2)|1.23122383649347||50
cci_g: 0|cci_g|no|bd_05#prev_2021|0-24|father|0|3,607 (88.8)|88.8204875646392||3607
cci_g: 1-2|cci_g|no|bd_05#prev_2021|0-24|father|0|404 (9.9)|9.94828859886727||404
age_index|age_index|no|bd_05#prev_2021|0-24|father|0|48.2 (42.4;53.6)|42.3506849315068|53.6027397260274|48.18579235
education_level: title|education_level|no|bd_05#prev_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_05#prev_2021|0-24|father|0|1,248 (30.7)|30.7313469588771||1248
education_level: medium_education|education_level|no|bd_05#prev_2021|0-24|father|0|1,951 (48.0)|48.0423540999753||1951
education_level: no_education|education_level|no|bd_05#prev_2021|0-24|father|0|125 (3.1)|3.07805959123368||125
education_level: short_education|education_level|no|bd_05#prev_2021|0-24|father|0|737 (18.1)|18.1482393499138||737
__n|__n|no|bd_05#prev_2021|0-24|father|1|4,061 (100.0)|100||4061
