additional_relative_req|var_pop|agegroup|__var|__label|__stat_char|__stat_num2|__stat_num3|__stat_num1
no|bd_00#inc_2016_2021|25-64|education_level|education_level: no_education|19,452 (4.7)|4.65813521331826||19452
no|bd_00#inc_2016_2021|25-64|education_level|education_level: short_education|79,396 (19.0)|19.0128163374777||79396
no|bd_00#inc_2016_2021|65+|__n|__n|218,322 (100.0)|100||218322
no|bd_00#inc_2016_2021|65+|male|male|113,770 (52.1)|52.1111019503302||113770
no|bd_00#inc_2016_2021|65+|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|65+|cci_g|cci_g: +3|31,784 (14.6)|14.5583129505959||31784
no|bd_00#inc_2016_2021|65+|cci_g|cci_g: 0|114,944 (52.6)|52.6488397871034||114944
no|bd_00#inc_2016_2021|65+|cci_g|cci_g: 1-2|71,594 (32.8)|32.7928472623006||71594
no|bd_00#inc_2016_2021|65+|age_index|age_index|76.1 (71.2;82.2)|71.158904109589|82.1616438356164|76.147945205
no|bd_00#inc_2016_2021|65+|education_level|education_level: title||||
no|bd_00#inc_2016_2021|65+|education_level|education_level: long_education|35,994 (16.5)|16.4866573226701||35994
no|bd_00#inc_2016_2021|65+|education_level|education_level: medium_education|95,948 (43.9)|43.9479301215635||95948
no|bd_00#inc_2016_2021|65+|education_level|education_level: no_education|14,160 (6.5)|6.48583285239234||14160
no|bd_00#inc_2016_2021|65+|education_level|education_level: short_education|72,220 (33.1)|33.0795797033739||72220
no|bd_00#prev_2021|0-24|__n|__n|231,732 (100.0)|100||231732
no|bd_00#prev_2021|0-24|male|male|123,701 (53.4)|53.3810608806725||123701
no|bd_00#prev_2021|0-24|cci_g|cci_g: title||||
no|bd_00#prev_2021|0-24|cci_g|cci_g: +3|888 (0.4)|0.38320128424214||888
no|bd_00#prev_2021|0-24|cci_g|cci_g: 0|213,833 (92.3)|92.2759912312499||213833
no|bd_00#prev_2021|0-24|cci_g|cci_g: 1-2|17,011 (7.3)|7.34080748450796||17011
no|bd_00#prev_2021|0-24|age_index|age_index|18.3 (13.5;21.8)|13.5342465753424|21.8109589041095|18.301369863
no|bd_00#prev_2021|0-24|education_level|education_level: title||||
no|bd_00#prev_2021|0-24|education_level|education_level: long_education|4,223 (1.8)|1.82236376503892||4223
no|bd_00#prev_2021|0-24|education_level|education_level: medium_education|44,946 (19.4)|19.3956812179586||44946
no|bd_00#prev_2021|0-24|education_level|education_level: no_education|54,495 (23.5)|23.5163896224949||54495
no|bd_00#prev_2021|0-24|education_level|education_level: short_education|128,068 (55.3)|55.2655653945074||128068
no|bd_00#prev_2021|25-64|__n|__n|1,987,074 (100.0)|100||1987074
no|bd_00#prev_2021|25-64|male|male|846,204 (42.6)|42.5854296317097||846204
no|bd_00#prev_2021|25-64|cci_g|cci_g: title||||
no|bd_00#prev_2021|25-64|cci_g|cci_g: +3|48,930 (2.5)|2.46241458546586||48930
no|bd_00#prev_2021|25-64|cci_g|cci_g: 0|1,637,198 (82.4)|82.3924020947383||1637198
no|bd_00#prev_2021|25-64|cci_g|cci_g: 1-2|300,946 (15.1)|15.1451833197958||300946
no|bd_00#prev_2021|25-64|age_index|age_index|47.5 (36.5;56.1)|36.4972677595628|56.0546448087431|47.517808219
no|bd_00#prev_2021|25-64|education_level|education_level: title||||
no|bd_00#prev_2021|25-64|education_level|education_level: long_education|591,766 (29.8)|29.780773136783||591766
no|bd_00#prev_2021|25-64|education_level|education_level: medium_education|886,108 (44.6)|44.5936084916817||886108
no|bd_00#prev_2021|25-64|education_level|education_level: no_education|46,192 (2.3)|2.32462404520415||46192
no|bd_00#prev_2021|25-64|education_level|education_level: short_education|463,008 (23.3)|23.300994326331||463008
no|bd_00#prev_2021|65+|__n|__n|811,502 (100.0)|100||811502
no|bd_00#prev_2021|65+|male|male|339,280 (41.8)|41.8088926459823||339280
no|bd_00#prev_2021|65+|cci_g|cci_g: title||||
no|bd_00#prev_2021|65+|cci_g|cci_g: +3|121,264 (14.9)|14.9431547919783||121264
no|bd_00#prev_2021|65+|cci_g|cci_g: 0|388,082 (47.8)|47.8226794265448||388082
no|bd_00#prev_2021|65+|cci_g|cci_g: 1-2|302,156 (37.2)|37.2341657814768||302156
no|bd_00#prev_2021|65+|age_index|age_index|74.6 (69.6;80.3)|69.6164383561643|80.2568306010929|74.553424658
no|bd_00#prev_2021|65+|education_level|education_level: title||||
no|bd_00#prev_2021|65+|education_level|education_level: long_education|160,656 (19.8)|19.7973634076071||160656
no|bd_00#prev_2021|65+|education_level|education_level: medium_education|364,740 (44.9)|44.9462847904256||364740
no|bd_00#prev_2021|65+|education_level|education_level: no_education|47,112 (5.8)|5.80553097835864||47112
no|bd_00#prev_2021|65+|education_level|education_level: short_education|238,994 (29.5)|29.4508208236085||238994
no|bd_01#inc_2016_2021|0-24|__n|__n|5,031 (100.0)|100||5031
no|bd_01#inc_2016_2021|0-24|male|male|3,149 (62.6)|62.5919300337905||3149
no|bd_01#inc_2016_2021|0-24|cci_g|cci_g: title||||
no|bd_01#inc_2016_2021|0-24|cci_g|cci_g: +3|28 (0.6)|0.55654939375869||28
no|bd_01#inc_2016_2021|0-24|cci_g|cci_g: 0|4,625 (91.9)|91.9300337904989||4625
no|bd_01#inc_2016_2021|0-24|cci_g|cci_g: 1-2|378 (7.5)|7.51341681574239||378
no|bd_01#inc_2016_2021|0-24|age_index|age_index|21.5 (19.5;23.3)|19.5490381016543|23.3150684931506|21.471232877
no|bd_01#inc_2016_2021|0-24|education_level|education_level: title||||
no|bd_01#inc_2016_2021|0-24|education_level|education_level: long_education|83 (1.6)|1.64977141721327||83
no|bd_01#inc_2016_2021|0-24|education_level|education_level: medium_education|1,235 (24.5)|24.547803617571||1235
no|bd_01#inc_2016_2021|0-24|education_level|education_level: no_education|66 (1.3)|1.31186642814549||66
no|bd_01#inc_2016_2021|0-24|education_level|education_level: short_education|3,647 (72.5)|72.4905585370701||3647
no|bd_01#inc_2016_2021|25-64|__n|__n|57,422 (100.0)|100||57422
no|bd_01#inc_2016_2021|25-64|male|male|32,668 (56.9)|56.8910870398105||32668
no|bd_01#inc_2016_2021|25-64|cci_g|cci_g: title||||
no|bd_01#inc_2016_2021|25-64|cci_g|cci_g: +3|1,932 (3.4)|3.36456410435024||1932
no|bd_01#inc_2016_2021|25-64|cci_g|cci_g: 0|45,104 (78.5)|78.5482915955557||45104
no|bd_01#inc_2016_2021|25-64|cci_g|cci_g: 1-2|10,386 (18.1)|18.087144300094||10386
no|bd_01#inc_2016_2021|25-64|age_index|age_index|49.3 (39.4;56.8)|39.4273972602739|56.8383561643835|49.28129351
no|bd_01#inc_2016_2021|25-64|education_level|education_level: title||||
no|bd_01#inc_2016_2021|25-64|education_level|education_level: long_education|11,158 (19.4)|19.431576747588||11158
no|bd_01#inc_2016_2021|25-64|education_level|education_level: medium_education|27,342 (47.6)|47.6158963463481||27342
no|bd_01#inc_2016_2021|25-64|education_level|education_level: no_education|1,770 (3.1)|3.08244226951342||1770
no|bd_01#inc_2016_2021|25-64|education_level|education_level: short_education|17,152 (29.9)|29.8700846365504||17152
no|bd_01#inc_2016_2021|65+|__n|__n|20,694 (100.0)|100||20694
no|bd_01#inc_2016_2021|65+|male|male|12,596 (60.9)|60.8678844109403||12596
no|bd_01#inc_2016_2021|65+|cci_g|cci_g: title||||
no|bd_01#inc_2016_2021|65+|cci_g|cci_g: +3|3,382 (16.3)|16.3429013240552||3382
no|bd_01#inc_2016_2021|65+|cci_g|cci_g: 0|9,862 (47.7)|47.6563255049772||9862
no|bd_01#inc_2016_2021|65+|cci_g|cci_g: 1-2|7,450 (36.0)|36.0007731709674||7450
no|bd_01#inc_2016_2021|65+|age_index|age_index|72.0 (68.4;76.5)|68.3551912568306|76.4726775956284|72.024657534
no|bd_01#inc_2016_2021|65+|education_level|education_level: title||||
no|bd_01#inc_2016_2021|65+|education_level|education_level: long_education|3,936 (19.0)|19.0200057987822||3936
no|bd_01#inc_2016_2021|65+|education_level|education_level: medium_education|10,216 (49.4)|49.3669662704165||10216
no|bd_01#inc_2016_2021|65+|education_level|education_level: no_education|1,554 (7.5)|7.50942302116555||1554
no|bd_01#inc_2016_2021|65+|education_level|education_level: short_education|4,988 (24.1)|24.1036049096356||4988
no|bd_01#prev_2021|0-24|__n|__n|3,334 (100.0)|100||3334
no|bd_01#prev_2021|0-24|male|male|2,011 (60.3)|60.3179364127174||2011
no|bd_01#prev_2021|0-24|cci_g|cci_g: title||||
no|bd_01#prev_2021|0-24|cci_g|cci_g: +3|26 (0.8)|0.77984403119376||26
no|bd_01#prev_2021|0-24|cci_g|cci_g: 0|3,023 (90.7)|90.6718656268746||3023
no|bd_01#prev_2021|0-24|cci_g|cci_g: 1-2|285 (8.5)|8.54829034193161||285
no|bd_01#prev_2021|0-24|age_index|age_index|22.6 (20.8;24.0)|20.8142076502732|23.9917808219178|22.62739726
no|bd_01#prev_2021|0-24|education_level|education_level: title||||
no|bd_01#prev_2021|0-24|education_level|education_level: long_education|57 (1.7)|1.70965806838632||57
no|bd_01#prev_2021|0-24|education_level|education_level: medium_education|858 (25.7)|25.7348530293941||858
no|bd_01#prev_2021|0-24|education_level|education_level: no_education|103 (3.1)|3.08938212357528||103
no|bd_01#prev_2021|0-24|education_level|education_level: short_education|2,316 (69.5)|69.4661067786442||2316
no|bd_01#prev_2021|25-64|__n|__n|192,284 (100.0)|100||192284
no|bd_01#prev_2021|25-64|male|male|130,970 (68.1)|68.1127914959123||130970
no|bd_01#prev_2021|25-64|cci_g|cci_g: title||||
no|bd_01#prev_2021|25-64|cci_g|cci_g: +3|11,422 (5.9)|5.94017182916935||11422
no|bd_01#prev_2021|25-64|cci_g|cci_g: 0|138,534 (72.0)|72.0465561357159||138534
no|bd_01#prev_2021|25-64|cci_g|cci_g: 1-2|42,328 (22.0)|22.0132720351147||42328
no|bd_01#prev_2021|25-64|age_index|age_index|52.4 (42.8;58.6)|42.8301369863013|58.6301369863013|52.379781421
no|bd_01#prev_2021|25-64|education_level|education_level: title||||
no|bd_01#prev_2021|25-64|education_level|education_level: long_education|28,336 (14.7)|14.7365355411786||28336
no|bd_01#prev_2021|25-64|education_level|education_level: medium_education|86,772 (45.1)|45.1269996463564||86772
no|bd_01#prev_2021|25-64|education_level|education_level: no_education|5,146 (2.7)|2.67624971396476||5146
no|bd_01#prev_2021|25-64|education_level|education_level: short_education|72,030 (37.5)|37.4602150985001||72030
no|bd_01#prev_2021|65+|__n|__n|82,320 (100.0)|100||82320
no|bd_01#prev_2021|65+|male|male|51,176 (62.2)|62.1671525753158||51176
no|bd_01#prev_2021|65+|cci_g|cci_g: title||||
no|bd_01#prev_2021|65+|cci_g|cci_g: +3|17,228 (20.9)|20.9280855199222||17228
no|bd_01#prev_2021|65+|cci_g|cci_g: 0|33,588 (40.8)|40.801749271137||33588
no|bd_01#prev_2021|65+|cci_g|cci_g: 1-2|31,504 (38.3)|38.2701652089407||31504
no|bd_01#prev_2021|65+|age_index|age_index|71.9 (68.1;76.3)|68.0573770491803|76.3469945355191|71.909589041
no|bd_01#prev_2021|65+|education_level|education_level: title||||
no|bd_01#prev_2021|65+|education_level|education_level: long_education|15,632 (19.0)|18.9893100097181||15632
no|bd_01#prev_2021|65+|education_level|education_level: medium_education|40,036 (48.6)|48.6345966958212||40036
no|bd_01#prev_2021|65+|education_level|education_level: no_education|5,482 (6.7)|6.65937803692905||5482
no|bd_01#prev_2021|65+|education_level|education_level: short_education|21,170 (25.7)|25.7167152575315||21170
no|bd_02#inc_2016_2021|0-24|__n|__n|48,452 (100.0)|100||48452
no|bd_02#inc_2016_2021|0-24|male|male|16,657 (34.4)|34.378353834723||16657
no|bd_02#inc_2016_2021|0-24|cci_g|cci_g: title||||
no|bd_02#inc_2016_2021|0-24|cci_g|cci_g: +3|96 (0.2)|0.19813423594485||96
no|bd_02#inc_2016_2021|0-24|cci_g|cci_g: 0|44,988 (92.9)|92.8506563196565||44988
no|bd_02#inc_2016_2021|0-24|cci_g|cci_g: 1-2|3,368 (7.0)|6.95120944439858||3368
no|bd_02#inc_2016_2021|0-24|age_index|age_index|19.2 (16.0;22.1)|16.0109289617486|22.0799535893405|19.216438356
no|bd_02#inc_2016_2021|0-24|education_level|education_level: title||||
no|bd_02#inc_2016_2021|0-24|education_level|education_level: long_education|843 (1.7)|1.73986625939073||843
no|bd_02#inc_2016_2021|0-24|education_level|education_level: medium_education|10,369 (21.4)|21.4005613803351||10369
no|bd_02#inc_2016_2021|0-24|education_level|education_level: no_education|4,842 (10.0)|9.9933955254685||4842
no|bd_02#inc_2016_2021|0-24|education_level|education_level: short_education|32,398 (66.9)|66.8661768348056||32398
no|bd_02#inc_2016_2021|25-64|__n|__n|112,016 (100.0)|100||112016
no|bd_02#inc_2016_2021|25-64|male|male|42,676 (38.1)|38.0981288387373||42676
no|bd_02#inc_2016_2021|25-64|cci_g|cci_g: title||||
no|bd_02#inc_2016_2021|25-64|cci_g|cci_g: +3|3,608 (3.2)|3.22096843308098||3608
no|bd_02#inc_2016_2021|25-64|cci_g|cci_g: 0|92,170 (82.3)|82.2828881588344||92170
no|bd_02#inc_2016_2021|25-64|cci_g|cci_g: 1-2|16,238 (14.5)|14.4961434080845||16238
no|bd_02#inc_2016_2021|25-64|age_index|age_index|41.4 (31.7;52.0)|31.6767123287671|52.0301369863013|41.414248821
no|bd_02#inc_2016_2021|25-64|education_level|education_level: title||||
no|bd_02#inc_2016_2021|25-64|education_level|education_level: long_education|30,482 (27.2)|27.212183973718||30482
no|bd_02#inc_2016_2021|25-64|education_level|education_level: medium_education|46,120 (41.2)|41.1726896157691||46120
no|bd_02#inc_2016_2021|25-64|education_level|education_level: no_education|4,426 (4.0)|3.95122125410655||4426
no|bd_02#inc_2016_2021|25-64|education_level|education_level: short_education|30,988 (27.7)|27.6639051564062||30988
no|bd_02#inc_2016_2021|65+|__n|__n|38,482 (100.0)|100||38482
no|bd_02#inc_2016_2021|65+|male|male|12,898 (33.5)|33.5169689725066||12898
no|bd_02#inc_2016_2021|65+|cci_g|cci_g: title||||
no|bd_02#inc_2016_2021|65+|cci_g|cci_g: +3|9,110 (23.7)|23.6734057481419||9110
no|bd_02#inc_2016_2021|65+|cci_g|cci_g: 0|14,804 (38.5)|38.4699339951146||14804
no|bd_02#inc_2016_2021|65+|cci_g|cci_g: 1-2|14,568 (37.9)|37.8566602567434||14568
no|bd_02#inc_2016_2021|65+|age_index|age_index|75.3 (70.4;81.5)|70.3539037353095|81.4657534246575|75.31147541
no|bd_02#inc_2016_2021|65+|education_level|education_level: title||||
no|bd_02#inc_2016_2021|65+|education_level|education_level: long_education|5,920 (15.4)|15.383815809989||5920
no|bd_02#inc_2016_2021|65+|education_level|education_level: medium_education|16,442 (42.7)|42.7264695182163||16442
no|bd_02#inc_2016_2021|65+|education_level|education_level: no_education|1,958 (5.1)|5.08809313445247||1958
no|bd_02#inc_2016_2021|65+|education_level|education_level: short_education|14,162 (36.8)|36.8016215373421||14162
no|bd_02#prev_2021|0-24|__n|__n|45,408 (100.0)|100||45408
no|bd_02#prev_2021|0-24|male|male|16,946 (37.3)|37.3194150810429||16946
no|bd_02#prev_2021|0-24|cci_g|cci_g: title||||
no|bd_02#prev_2021|0-24|cci_g|cci_g: +3|114 (0.3)|0.25105708245243||114
no|bd_02#prev_2021|0-24|cci_g|cci_g: 0|41,975 (92.4)|92.439658210007||41975
no|bd_02#prev_2021|0-24|cci_g|cci_g: 1-2|3,319 (7.3)|7.30928470754052||3319
no|bd_02#prev_2021|0-24|age_index|age_index|20.9 (18.1;23.1)|18.1068493150684|23.1013698630137|20.898907104
no|bd_02#prev_2021|0-24|education_level|education_level: title||||
no|bd_02#prev_2021|0-24|education_level|education_level: long_education|977 (2.2)|2.15160324171952||977
no|bd_02#prev_2021|0-24|education_level|education_level: medium_education|11,385 (25.1)|25.0726744186046||11385
no|bd_02#prev_2021|0-24|education_level|education_level: no_education|1,980 (4.4)|4.36046511627907||1980
no|bd_02#prev_2021|0-24|education_level|education_level: short_education|31,066 (68.4)|68.4152572233967||31066
no|bd_02#prev_2021|25-64|__n|__n|404,102 (100.0)|100||404102
no|bd_02#prev_2021|25-64|male|male|144,596 (35.8)|35.7820550257113||144596
no|bd_02#prev_2021|25-64|cci_g|cci_g: title||||
no|bd_02#prev_2021|25-64|cci_g|cci_g: +3|10,302 (2.5)|2.54935635062434||10302
no|bd_02#prev_2021|25-64|cci_g|cci_g: 0|331,064 (81.9)|81.9258504041059||331064
no|bd_02#prev_2021|25-64|cci_g|cci_g: 1-2|62,736 (15.5)|15.5247932452697||62736
no|bd_02#prev_2021|25-64|age_index|age_index|45.4 (35.2;54.6)|35.1561643835616|54.5534246575342|45.42739726
no|bd_02#prev_2021|25-64|education_level|education_level: title||||
no|bd_02#prev_2021|25-64|education_level|education_level: long_education|107,934 (26.7)|26.7095931225284||107934
no|bd_02#prev_2021|25-64|education_level|education_level: medium_education|165,436 (40.9)|40.9391688237128||165436
no|bd_02#prev_2021|25-64|education_level|education_level: no_education|9,376 (2.3)|2.32020628455192||9376
no|bd_02#prev_2021|25-64|education_level|education_level: short_education|121,356 (30.0)|30.0310317692067||121356
no|bd_02#prev_2021|65+|__n|__n|116,422 (100.0)|100||116422
no|bd_02#prev_2021|65+|male|male|35,442 (30.4)|30.4426998333648||35442
no|bd_02#prev_2021|65+|cci_g|cci_g: title||||
no|bd_02#prev_2021|65+|cci_g|cci_g: +3|17,690 (15.2)|15.1947226469224||17690
no|bd_02#prev_2021|65+|cci_g|cci_g: 0|56,082 (48.2)|48.1713078284173||56082
no|bd_02#prev_2021|65+|cci_g|cci_g: 1-2|42,650 (36.6)|36.6339695246602||42650
no|bd_02#prev_2021|65+|age_index|age_index|73.8 (69.0;79.6)|68.9508196721311|79.6465753424657|73.756164384
no|bd_02#prev_2021|65+|education_level|education_level: title||||
no|bd_02#prev_2021|65+|education_level|education_level: long_education|20,970 (18.0)|18.0120595763687||20970
no|bd_02#prev_2021|65+|education_level|education_level: medium_education|50,820 (43.7)|43.6515435227019||50820
no|bd_02#prev_2021|65+|education_level|education_level: no_education|5,298 (4.6)|4.55068629640446||5298
no|bd_02#prev_2021|65+|education_level|education_level: short_education|39,334 (33.8)|33.7857106045249||39334
no|bd_03#inc_2016_2021|0-24|__n|__n|3,536 (100.0)|100||3536
no|bd_03#inc_2016_2021|0-24|male|male|1,128 (31.9)|31.9004524886877||1128
no|bd_03#inc_2016_2021|0-24|cci_g|cci_g: title||||
no|bd_03#inc_2016_2021|0-24|cci_g|cci_g: +3|9 (0.3)|0.25452488687782||9
no|bd_03#inc_2016_2021|0-24|cci_g|cci_g: 0|3,300 (93.3)|93.3257918552036||3300
no|bd_03#inc_2016_2021|0-24|cci_g|cci_g: 1-2|227 (6.4)|6.41968325791855||227
no|bd_03#inc_2016_2021|0-24|age_index|age_index|21.3 (19.1;23.1)|19.0712328767123|23.1497043191855|21.349363725
no|bd_03#inc_2016_2021|0-24|education_level|education_level: title||||
no|bd_03#inc_2016_2021|0-24|education_level|education_level: long_education|82 (2.3)|2.31900452488687||82
no|bd_03#inc_2016_2021|0-24|education_level|education_level: medium_education|1,244 (35.2)|35.1809954751131||1244
no|bd_03#inc_2016_2021|0-24|education_level|education_level: no_education|23 (0.7)|0.65045248868778||23
no|bd_03#inc_2016_2021|0-24|education_level|education_level: short_education|2,187 (61.8)|61.8495475113122||2187
no|bd_03#inc_2016_2021|25-64|__n|__n|13,516 (100.0)|100||13516
no|bd_03#inc_2016_2021|25-64|male|male|5,700 (42.2)|42.1722403077833||5700
no|bd_03#inc_2016_2021|25-64|cci_g|cci_g: title||||
no|bd_03#inc_2016_2021|25-64|cci_g|cci_g: +3|254 (1.9)|1.87925421722403||254
no|bd_03#inc_2016_2021|25-64|cci_g|cci_g: 0|11,346 (83.9)|83.9449541284403||11346
no|bd_03#inc_2016_2021|25-64|cci_g|cci_g: 1-2|1,916 (14.2)|14.1757916543356||1916
no|bd_03#inc_2016_2021|25-64|age_index|age_index|41.5 (31.9;51.6)|31.9342465753424|51.5698630136986|41.457504304
no|bd_03#inc_2016_2021|25-64|education_level|education_level: title||||
no|bd_03#inc_2016_2021|25-64|education_level|education_level: long_education|4,048 (29.9)|29.9496892571766||4048
no|bd_03#inc_2016_2021|25-64|education_level|education_level: medium_education|5,816 (43.0)|43.03048239124||5816
no|bd_03#inc_2016_2021|25-64|education_level|education_level: no_education|402 (3.0)|2.9742527374963||402
no|bd_03#inc_2016_2021|25-64|education_level|education_level: short_education|3,250 (24.0)|24.045575614087||3250
no|bd_03#inc_2016_2021|65+|__n|__n|2,198 (100.0)|100||2198
no|bd_03#inc_2016_2021|65+|male|male|932 (42.4)|42.4021838034576||932
no|bd_03#inc_2016_2021|65+|cci_g|cci_g: title||||
no|bd_03#inc_2016_2021|65+|cci_g|cci_g: +3|336 (15.3)|15.2866242038216||336
no|bd_03#inc_2016_2021|65+|cci_g|cci_g: 0|1,014 (46.1)|46.132848043676||1014
no|bd_03#inc_2016_2021|65+|cci_g|cci_g: 1-2|848 (38.6)|38.5805277525022||848
no|bd_03#inc_2016_2021|65+|age_index|age_index|73.0 (68.9;77.6)|68.9479452054794|77.6|72.982468748
no|bd_03#inc_2016_2021|65+|education_level|education_level: title||||
no|bd_03#inc_2016_2021|65+|education_level|education_level: long_education|508 (23.1)|23.1119199272065||508
no|bd_03#inc_2016_2021|65+|education_level|education_level: medium_education|898 (40.9)|40.8553230209281||898
no|bd_03#inc_2016_2021|65+|education_level|education_level: no_education|182 (8.3)|8.28025477707006||182
no|bd_03#inc_2016_2021|65+|education_level|education_level: short_education|610 (27.8)|27.7525022747952||610
no|bd_03#prev_2021|0-24|__n|__n|2,328 (100.0)|100||2328
no|bd_03#prev_2021|0-24|male|male|800 (34.4)|34.3642611683848||800
no|bd_03#prev_2021|0-24|cci_g|cci_g: title||||
no|bd_03#prev_2021|0-24|cci_g|cci_g: +3|9 (0.4)|0.38659793814433||9
no|bd_03#prev_2021|0-24|cci_g|cci_g: 0|2,127 (91.4)|91.3659793814433||2127
no|bd_03#prev_2021|0-24|cci_g|cci_g: 1-2|192 (8.2)|8.24742268041237||192
no|bd_03#prev_2021|0-24|age_index|age_index|22.3 (20.4;23.8)|20.4125683060109|23.8438356164383|22.342465753
no|bd_03#prev_2021|0-24|education_level|education_level: title||||
no|bd_03#prev_2021|0-24|education_level|education_level: long_education|72 (3.1)|3.09278350515464||72
no|bd_03#prev_2021|0-24|education_level|education_level: medium_education|823 (35.4)|35.3522336769759||823
no|bd_03#prev_2021|0-24|education_level|education_level: no_education|15 (0.6)|0.64432989690721||15
no|bd_03#prev_2021|0-24|education_level|education_level: short_education|1,418 (60.9)|60.9106529209622||1418
no|bd_03#prev_2021|25-64|__n|__n|46,350 (100.0)|100||46350
no|bd_03#prev_2021|25-64|male|male|18,108 (39.1)|39.0679611650485||18108
no|bd_03#prev_2021|25-64|cci_g|cci_g: title||||
no|bd_03#prev_2021|25-64|cci_g|cci_g: +3|1,500 (3.2)|3.23624595469255||1500
no|bd_03#prev_2021|25-64|cci_g|cci_g: 0|36,496 (78.7)|78.740021574973||36496
no|bd_03#prev_2021|25-64|cci_g|cci_g: 1-2|8,354 (18.0)|18.0237324703344||8354
no|bd_03#prev_2021|25-64|age_index|age_index|47.6 (37.6;56.3)|37.5808219178082|56.2950819672131|47.646575342
no|bd_03#prev_2021|25-64|education_level|education_level: title||||
no|bd_03#prev_2021|25-64|education_level|education_level: long_education|12,444 (26.8)|26.8478964401294||12444
no|bd_03#prev_2021|25-64|education_level|education_level: medium_education|19,736 (42.6)|42.5803667745415||19736
no|bd_03#prev_2021|25-64|education_level|education_level: no_education|954 (2.1)|2.05825242718446||954
no|bd_03#prev_2021|25-64|education_level|education_level: short_education|13,216 (28.5)|28.5134843581445||13216
no|bd_03#prev_2021|65+|__n|__n|15,966 (100.0)|100||15966
no|bd_03#prev_2021|65+|male|male|6,020 (37.7)|37.7051233871978||6020
no|bd_03#prev_2021|65+|cci_g|cci_g: title||||
no|bd_03#prev_2021|65+|cci_g|cci_g: +3|2,562 (16.0)|16.0465990229237||2562
no|bd_03#prev_2021|65+|cci_g|cci_g: 0|7,252 (45.4)|45.4215207315545||7252
no|bd_03#prev_2021|65+|cci_g|cci_g: 1-2|6,152 (38.5)|38.5318802455217||6152
no|bd_03#prev_2021|65+|age_index|age_index|73.2 (68.7;78.1)|68.6885245901639|78.0986301369863|73.205479452
no|bd_03#prev_2021|65+|education_level|education_level: title||||
no|bd_03#prev_2021|65+|education_level|education_level: long_education|3,926 (24.6)|24.5897532256044||3926
no|bd_03#prev_2021|65+|education_level|education_level: medium_education|6,674 (41.8)|41.8013278216209||6674
no|bd_03#prev_2021|65+|education_level|education_level: no_education|1,180 (7.4)|7.39070524865338||1180
no|bd_03#prev_2021|65+|education_level|education_level: short_education|4,186 (26.2)|26.2182137041212||4186
no|bd_04#inc_2016_2021|0-24|__n|__n|972 (100.0)|100||972
no|bd_04#inc_2016_2021|0-24|male|male|506 (52.1)|52.0576131687242||506
no|bd_04#inc_2016_2021|0-24|cci_g|cci_g: title||||
no|bd_04#inc_2016_2021|0-24|cci_g|cci_g: +3|8 (0.8)|0.82304526748971||8
no|bd_04#inc_2016_2021|0-24|cci_g|cci_g: 0|895 (92.1)|92.0781893004115||895
no|bd_04#inc_2016_2021|0-24|cci_g|cci_g: 1-2|69 (7.1)|7.09876543209876||69
